Tue Oct 04 11:18:35 2016

Number of Points = 2705
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.378518	2.323411	0.000000	0.001905	0.475742

0.335527	2.369319	0.005005	0.001914	0.475833
0.335741	2.369674	0.010010	0.001914	0.475834
0.467652	2.246906	0.015014	0.001886	0.475611
0.528141	2.179211	0.020019	0.001874	0.475472
0.328240	2.181332	0.025024	0.001916	0.475212
0.423774	2.073452	0.030029	0.001896	0.474988
0.467415	1.961590	0.035034	0.001887	0.474683
0.389207	1.890074	0.040038	0.001903	0.474346
0.324307	1.802435	0.045043	0.001917	0.473974
0.412525	1.635034	0.050048	0.001899	0.473546
0.335416	1.540262	0.055053	0.001915	0.473134
0.184448	1.468172	0.060058	0.001947	0.472696
0.162429	1.356656	0.065062	0.001952	0.472302
0.036801	1.272877	0.070067	0.001978	0.471860
0.111680	1.085411	0.075072	0.001963	0.471347
0.093991	0.927747	0.080077	0.001966	0.470807
-0.067660	0.827958	0.085082	0.002001	0.470262
-0.098089	0.678716	0.090086	0.002007	0.469731
-0.009882	0.452173	0.095091	0.001989	0.469106
-0.258280	0.370863	0.100096	0.002041	0.468502
-0.318477	0.214171	0.105101	0.002054	0.467905
-0.255409	0.006293	0.110106	0.002041	0.467304
-0.471913	-0.104793	0.115110	0.002086	0.466643
-0.628585	-0.225352	0.120115	0.002119	0.466032
-0.732825	-0.360903	0.125120	0.002142	0.465441
-0.906479	-0.464883	0.130125	0.002178	0.464859
-1.446168	-0.391551	0.135130	0.002292	0.464366
-1.753116	-0.369187	0.140134	0.002357	0.464021
-1.961984	-0.370213	0.145139	0.002401	0.463732
-2.130108	-0.354581	0.150144	0.002436	0.463554
-2.447131	-0.303564	0.155149	0.002503	0.463290
-2.335868	-0.393434	0.160154	0.002480	0.463142
-2.598713	-0.333893	0.165158	0.002535	0.462980
-2.697073	-0.361962	0.170163	0.002556	0.462752
-2.756740	-0.361406	0.175168	0.002568	0.462671
-2.744308	-0.412978	0.180173	0.002566	0.462516
-2.969575	-0.360250	0.185178	0.002613	0.462382
-3.130170	-0.387618	0.190182	0.002647	0.462071
-3.120699	-0.418953	0.195187	0.002645	0.461978
-3.354371	-0.389875	0.200192	0.002695	0.461754
-3.346102	-0.402904	0.205197	0.002693	0.461722
-3.650542	-0.363665	0.210202	0.002757	0.461434
-3.506836	-0.424563	0.215206	0.002727	0.461428
-3.866998	-0.360518	0.220211	0.002803	0.461147
-3.851913	-0.371069	0.225216	0.002800	0.461131
-3.898054	-0.407885	0.230221	0.002810	0.460944
-4.056401	-0.385242	0.235226	0.002843	0.460802
-4.003701	-0.441260	0.240230	0.002832	0.460686
-4.284295	-0.384050	0.245235	0.002891	0.460491
-4.284867	-0.407503	0.250240	0.002891	0.460411
-4.511793	-0.383749	0.255245	0.002939	0.460178
-4.391262	-0.446609	0.260250	0.002914	0.460133
-4.661718	-0.410855	0.265254	0.002971	0.459880
-4.744167	-0.377023	0.270259	0.002988	0.459879
-4.979646	-0.377695	0.275264	0.003038	0.459552
-4.881200	-0.420444	0.280269	0.003017	0.459543
-5.026999	-0.405313	0.285274	0.003048	0.459392
-5.122221	-0.413984	0.290278	0.003068	0.459231
-5.170034	-0.449067	0.295283	0.003078	0.459047
-5.345531	-0.417665	0.300288	0.003115	0.458910
-5.463028	-0.399058	0.305293	0.003140	0.458809
-5.670256	-0.372039	0.310298	0.003184	0.458613
-5.623029	-0.392485	0.315302	0.003174	0.458609
-5.841187	-0.360729	0.320307	0.003220	0.458414
-5.877107	-0.385214	0.325312	0.003228	0.458281
-5.960166	-0.387443	0.330317	0.003245	0.458159
-6.068783	-0.395558	0.335322	0.003268	0.457980
-5.986634	-0.450247	0.340326	0.003251	0.457909
-6.334230	-0.379702	0.345331	0.003324	0.457665
-6.301888	-0.391736	0.350336	0.003318	0.457669
-6.580963	-0.349468	0.355341	0.003376	0.457424
-6.482542	-0.400141	0.360346	0.003356	0.457389
-6.652959	-0.389429	0.365350	0.003392	0.457189
-6.745345	-0.390896	0.370355	0.003411	0.457055
-6.801214	-0.398425	0.375360	0.003423	0.456952
-6.984041	-0.385389	0.380365	0.003462	0.456742
-6.974854	-0.416795	0.385370	0.003460	0.456648
-7.205568	-0.389922	0.390374	0.003509	0.456418
-7.177548	-0.424517	0.395379	0.003503	0.456339
-7.427256	-0.386549	0.400384	0.003555	0.456120
-7.500531	-0.356875	0.405389	0.003571	0.456118
