Tue Oct 04 11:29:49 2016

Number of Points = 2704
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.372755	2.182451	0.000000	0.001130	0.480164

0.420183	2.091788	0.005005	0.001120	0.479935
0.382109	2.067465	0.010010	0.001128	0.479807
0.395493	1.997542	0.015014	0.001125	0.479600
0.299105	1.940138	0.020019	0.001146	0.479288
0.323977	1.848946	0.025024	0.001140	0.479027
0.211918	1.800944	0.030029	0.001164	0.478725
0.269336	1.685854	0.035034	0.001152	0.478430
0.274700	1.561979	0.040038	0.001151	0.478038
0.240728	1.444418	0.045043	0.001158	0.477613
0.067006	1.398622	0.050048	0.001195	0.477235
0.161594	1.205175	0.055053	0.001175	0.476735
0.042451	1.115707	0.060058	0.001200	0.476288
-0.019018	0.982643	0.065062	0.001213	0.475775
-0.072568	0.859507	0.070067	0.001224	0.475305
-0.243871	0.766342	0.075072	0.001260	0.474774
-0.229422	0.609601	0.080077	0.001257	0.474284
-0.401587	0.520610	0.085082	0.001294	0.473765
-0.561951	0.428435	0.090086	0.001327	0.473250
-0.646168	0.326753	0.095091	0.001345	0.472806
-0.877502	0.281503	0.100096	0.001394	0.472349
-1.071677	0.245758	0.105101	0.001435	0.471971
-1.181042	0.169453	0.110106	0.001458	0.471575
-1.375311	0.138557	0.115110	0.001499	0.471213
-1.682892	0.155187	0.120115	0.001564	0.470854
-1.796352	0.124071	0.125120	0.001587	0.470600
-1.820695	0.053460	0.130125	0.001593	0.470335
-1.970182	0.025386	0.135130	0.001624	0.470042
-2.072194	-0.011558	0.140134	0.001646	0.469783
-2.300153	0.021437	0.145139	0.001694	0.469584
-2.395274	-0.034613	0.150144	0.001714	0.469272
-2.507164	-0.049220	0.155149	0.001737	0.469073
-2.572375	-0.075163	0.160154	0.001751	0.468899
-2.804194	-0.054827	0.165158	0.001800	0.468653
-2.756090	-0.133465	0.170163	0.001790	0.468459
-2.859275	-0.156830	0.175168	0.001811	0.468242
-3.155625	-0.104129	0.180173	0.001874	0.468015
-3.092651	-0.177233	0.185178	0.001861	0.467859
-3.222389	-0.172740	0.190182	0.001888	0.467698
-3.392470	-0.188343	0.195187	0.001924	0.467416
-3.450746	-0.214261	0.200192	0.001936	0.467252
-3.646611	-0.186891	0.205197	0.001977	0.467077
-3.797058	-0.149201	0.210202	0.002009	0.466997
-3.971978	-0.147793	0.215206	0.002046	0.466764
-3.812229	-0.245414	0.220211	0.002012	0.466658
-4.097136	-0.194884	0.225216	0.002072	0.466438
-4.122133	-0.210480	0.230221	0.002077	0.466353
-4.356868	-0.178334	0.235226	0.002127	0.466140
-4.334529	-0.201086	0.240230	0.002122	0.466095
-4.597729	-0.178218	0.245235	0.002177	0.465813
-4.453954	-0.239774	0.250240	0.002147	0.465805
-4.693163	-0.234972	0.255245	0.002198	0.465495
-4.752794	-0.210157	0.260250	0.002210	0.465496
-4.967666	-0.212568	0.265254	0.002255	0.465196
-5.068177	-0.173267	0.270259	0.002277	0.465189
-4.987181	-0.263121	0.275264	0.002260	0.465001
-5.289291	-0.175633	0.280269	0.002323	0.464880
-5.235402	-0.215641	0.285274	0.002312	0.464820
-5.515850	-0.183649	0.290278	0.002371	0.464544
-5.446111	-0.211596	0.295283	0.002356	0.464546
-5.603849	-0.233201	0.300288	0.002389	0.464259
-5.676762	-0.211558	0.305293	0.002405	0.464232
-5.728325	-0.262767	0.310298	0.002416	0.463991
-5.868353	-0.228911	0.315302	0.002445	0.463912
-6.049976	-0.190294	0.320307	0.002483	0.463792
-6.251939	-0.163057	0.325312	0.002526	0.463607
