Tue Oct 04 11:21:15 2016

Number of Points = 2705
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.663897	2.162839	0.000000	0.001267	0.479240

0.575024	2.215924	0.005005	0.001286	0.479293
0.660174	2.163113	0.010010	0.001268	0.479236
0.667263	2.079472	0.015014	0.001266	0.478976
0.563616	2.107042	0.020019	0.001288	0.478927
0.510870	2.050647	0.025024	0.001299	0.478676
0.680240	1.908516	0.030029	0.001264	0.478442
0.567253	1.865196	0.035034	0.001288	0.478152
0.520302	1.788903	0.040038	0.001298	0.477844
0.478563	1.710858	0.045043	0.001307	0.477536
0.429869	1.623718	0.050048	0.001317	0.477190
0.459387	1.484910	0.055053	0.001311	0.476780
0.420754	1.367532	0.060058	0.001319	0.476349
0.364527	1.256682	0.065062	0.001331	0.475915
0.421262	1.071321	0.070067	0.001319	0.475390
0.400075	0.924279	0.075072	0.001324	0.474885
0.319207	0.778193	0.080077	0.001341	0.474302
0.222202	0.644355	0.085082	0.001361	0.473737
0.259752	0.448049	0.090086	0.001353	0.473148
0.151762	0.309047	0.095091	0.001376	0.472550
0.110858	0.136494	0.100096	0.001385	0.471932
0.035363	-0.034491	0.105101	0.001401	0.471272
-0.166912	-0.142852	0.110106	0.001443	0.470645
-0.173926	-0.336523	0.115110	0.001445	0.470000
-0.645489	-0.322342	0.120115	0.001544	0.469411
-1.122882	-0.263871	0.125120	0.001645	0.468959
-1.334177	-0.269297	0.130125	0.001689	0.468655
-1.582214	-0.266542	0.135130	0.001741	0.468329
-1.593173	-0.336551	0.140134	0.001744	0.468083
-1.770322	-0.324732	0.145139	0.001781	0.467882
-2.104039	-0.240004	0.150144	0.001851	0.467709
-2.230987	-0.266987	0.155149	0.001878	0.467448
-2.168101	-0.310392	0.160154	0.001865	0.467390
-2.449653	-0.287990	0.165158	0.001924	0.467082
-2.453006	-0.288712	0.170163	0.001925	0.467075
-2.649328	-0.302252	0.175168	0.001966	0.466763
-2.692768	-0.285216	0.180173	0.001976	0.466760
-2.993383	-0.229811	0.185178	0.002039	0.466535
-3.072511	-0.224892	0.190182	0.002056	0.466444
-3.008166	-0.250753	0.195187	0.002042	0.466445
-3.304662	-0.199543	0.200192	0.002105	0.466212
-3.165765	-0.275970	0.205197	0.002075	0.466147
-3.104409	-0.335232	0.210202	0.002063	0.466034
-3.502846	-0.238199	0.215206	0.002146	0.465813
-3.493559	-0.280974	0.220211	0.002144	0.465684
-3.660068	-0.266948	0.225216	0.002180	0.465504
-3.707528	-0.289236	0.230221	0.002190	0.465365
-3.793631	-0.308923	0.235226	0.002208	0.465183
-3.817027	-0.328879	0.240230	0.002213	0.465084
-4.127831	-0.262623	0.245235	0.002278	0.464880
-4.009288	-0.325631	0.250240	0.002253	0.464832
-4.414369	-0.245630	0.255245	0.002339	0.464546
-4.317581	-0.285705	0.260250	0.002318	0.464544
-4.500177	-0.263394	0.265254	0.002357	0.464369
-4.585449	-0.266458	0.270259	0.002375	0.464242
-4.505173	-0.318121	0.275264	0.002358	0.464180
-4.782586	-0.284210	0.280269	0.002416	0.463914
-4.719203	-0.328602	0.285274	0.002403	0.463852
-5.008269	-0.279397	0.290278	0.002464	0.463621
-4.976673	-0.305812	0.295283	0.002457	0.463576
-5.272784	-0.269791	0.300288	0.002520	0.463291
-5.195637	-0.299648	0.305293	0.002503	0.463296
-5.383746	-0.283101	0.310298	0.002543	0.463094
-5.393432	-0.310900	0.315302	0.002545	0.462988
-5.515259	-0.298292	0.320307	0.002571	0.462863
-5.793970	-0.240140	0.325312	0.002630	0.462675
-5.702897	-0.276776	0.330317	0.002610	0.462677
-5.866620	-0.278747	0.335322	0.002645	0.462446
-5.917595	-0.267902	0.340326	0.002656	0.462412
-6.088474	-0.272744	0.345331	0.002692	0.462162
-6.287601	-0.219149	0.350336	0.002734	0.462067
-6.209298	-0.249393	0.355341	0.002717	0.462073
-6.422695	-0.250766	0.360346	0.002762	0.461776
-6.443666	-0.245790	0.365350	0.002767	0.461763
-6.451377	-0.305795	0.370355	0.002768	0.461552
-6.774298	-0.206044	0.375360	0.002836	0.461442
-6.747329	-0.227912	0.380365	0.002831	0.461405
-6.805859	-0.281713	0.385370	0.002843	0.461145
-6.798228	-0.335016	0.390374	0.002842	0.460977
-7.077042	-0.269212	0.395379	0.002900	0.460814
-7.162070	-0.238995	0.400384	0.002918	0.460797
-7.318261	-0.263097	0.405389	0.002951	0.460502
-7.315457	-0.265524	0.410394	0.002951	0.460497
-7.417614	-0.299648	0.415398	0.002972	0.460242
-7.560908	-0.258525	0.420403	0.003002	0.460182
-7.591631	-0.308064	0.425408	0.003009	0.459974
-7.641932	-0.314255	0.430413	0.003019	0.459883
-7.889847	-0.300179	0.435418	0.003072	0.459589
-8.068124	-0.238373	0.440422	0.003109	0.459550
-7.970274	-0.304466	0.445427	0.003089	0.459463
-8.330223	-0.223313	0.450432	0.003164	0.459238
-8.225636	-0.266893	0.455437	0.003143	0.459236
-8.300313	-0.316618	0.460442	0.003158	0.458966
-8.447631	-0.270583	0.465446	0.003189	0.458917
-8.718980	-0.228772	0.470451	0.003246	0.458682
-8.550186	-0.317196	0.475456	0.003211	0.458618
-8.661420	-0.304690	0.480461	0.003235	0.458506
-8.993747	-0.230973	0.485466	0.003304	0.458294
-9.057130	-0.206152	0.490470	0.003318	0.458290
-8.994178	-0.301055	0.495475	0.003305	0.458057
-9.167561	-0.250658	0.500480	0.003341	0.457987
-9.286780	-0.255713	0.505485	0.003366	0.457805
-9.257844	-0.307148	0.510490	0.003360	0.457671
-9.569688	-0.231618	0.515494	0.003426	0.457494
-9.626780	-0.236805	0.520499	0.003438	0.457397
-9.468597	-0.320805	0.525504	0.003405	0.457332
-9.811214	-0.261246	0.530509	0.003477	0.457058
-9.798084	-0.309835	0.535514	0.003474	0.456912
-10.085177	-0.241401	0.540518	0.003535	0.456745
-10.009013	-0.271670	0.545523	0.003519	0.456748
-10.204291	-0.266927	0.550528	0.003560	0.456493
-10.183814	-0.294840	0.555533	0.003556	0.456426
-10.374657	-0.272693	0.560538	0.003596	0.456236
-10.509631	-0.250060	0.565542	0.003624	0.456125
-10.469091	-0.300610	0.570547	0.003616	0.456010
-10.710304	-0.265964	0.575552	0.003667	0.455792
