Tue Oct 04 11:27:09 2016

Number of Points = 2706
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.435473	2.183510	0.000000	0.001432	0.478275

0.372007	2.231590	0.005005	0.001445	0.478346
0.429650	2.139286	0.010010	0.001433	0.478124
0.466086	2.076421	0.015014	0.001425	0.477969
0.401756	2.026127	0.020019	0.001439	0.477722
0.290441	1.995511	0.025024	0.001462	0.477475
0.365405	1.888688	0.030029	0.001447	0.477229
0.294497	1.813617	0.035034	0.001462	0.476892
0.328301	1.702152	0.040038	0.001455	0.476577
0.273868	1.603599	0.045043	0.001466	0.476185
0.255114	1.470839	0.050048	0.001470	0.475730
0.226701	1.358768	0.055053	0.001476	0.475329
0.294316	1.166520	0.060058	0.001462	0.474795
0.125915	1.081538	0.065062	0.001498	0.474294
0.104002	0.933885	0.070067	0.001502	0.473784
0.173024	0.727633	0.075072	0.001488	0.473205
0.073543	0.590705	0.080077	0.001509	0.472625
0.086548	0.401873	0.085082	0.001506	0.472026
-0.055365	0.262991	0.090086	0.001536	0.471382
-0.036226	0.053848	0.095091	0.001532	0.470723
-0.102913	-0.129672	0.100096	0.001546	0.470032
-0.172245	-0.321375	0.105101	0.001561	0.469309
-0.363582	-0.451369	0.110106	0.001601	0.468623
-0.927429	-0.404289	0.115110	0.001720	0.468015
-1.366242	-0.345383	0.120115	0.001812	0.467615
-1.496223	-0.396323	0.125120	0.001840	0.467271
-1.677880	-0.424773	0.130125	0.001878	0.466931
-1.984468	-0.361575	0.135130	0.001943	0.466723
-2.209880	-0.354188	0.140134	0.001990	0.466441
-2.298146	-0.348438	0.145139	0.002009	0.466340
-2.566587	-0.299319	0.150144	0.002065	0.466138
-2.493336	-0.328804	0.155149	0.002050	0.466139
-2.684523	-0.347659	0.160154	0.002090	0.465817
-2.646280	-0.366950	0.165158	0.002082	0.465805
-2.998683	-0.313315	0.170163	0.002156	0.465503
-2.832005	-0.382632	0.175168	0.002121	0.465500
-2.994817	-0.388990	0.180173	0.002156	0.465257
-3.173439	-0.336146	0.185178	0.002193	0.465188
-3.300868	-0.351621	0.190182	0.002220	0.464963
-3.427638	-0.321890	0.195187	0.002247	0.464889
-3.404973	-0.367612	0.200192	0.002242	0.464768
-3.549855	-0.372561	0.205197	0.002273	0.464554
-3.710204	-0.353981	0.210202	0.002306	0.464396
-3.955322	-0.299878	0.215206	0.002358	0.464241
-3.908186	-0.320353	0.220211	0.002348	0.464237
-3.921729	-0.352523	0.225216	0.002351	0.464112
-4.202557	-0.295161	0.230221	0.002410	0.463919
-4.077056	-0.346150	0.235226	0.002384	0.463920
-4.345376	-0.323396	0.240230	0.002440	0.463629
-4.164589	-0.405822	0.245235	0.002402	0.463602
-4.555828	-0.338935	0.250240	0.002485	0.463289
-4.528795	-0.348920	0.255245	0.002479	0.463293
-4.807674	-0.309361	0.260250	0.002538	0.463043
-4.890943	-0.292225	0.265254	0.002555	0.462986
-4.815833	-0.334764	0.270259	0.002540	0.462946
-4.999104	-0.340602	0.275264	0.002578	0.462676
-4.896578	-0.395463	0.280269	0.002557	0.462633
-5.098340	-0.377655	0.285274	0.002599	0.462416
-5.205891	-0.368360	0.290278	0.002622	0.462299
-5.432370	-0.342806	0.295283	0.002670	0.462074
-5.403982	-0.363155	0.300288	0.002664	0.462044
-5.639454	-0.350261	0.305293	0.002713	0.461764
-5.583765	-0.377600	0.310298	0.002702	0.461749
-5.881785	-0.347706	0.315302	0.002764	0.461440
-5.873274	-0.351219	0.320307	0.002763	0.461439
-5.926536	-0.389358	0.325312	0.002774	0.461239
-6.165625	-0.320558	0.330317	0.002824	0.461140
-6.197895	-0.328179	0.335322	0.002831	0.461070
-6.547445	-0.263697	0.340326	0.002905	0.460805
-6.310298	-0.359677	0.345331	0.002855	0.460809
-6.399980	-0.360714	0.350336	0.002874	0.460682
-6.686330	-0.297565	0.355341	0.002934	0.460499
-6.636957	-0.356898	0.360346	0.002924	0.460368
-6.896198	-0.305233	0.365350	0.002978	0.460184
-6.770328	-0.357174	0.370355	0.002952	0.460183
-7.054125	-0.323546	0.375360	0.003012	0.459905
-7.206604	-0.266770	0.380365	0.003044	0.459885
-7.159562	-0.298678	0.385370	0.003034	0.459843
-7.443160	-0.269617	0.390374	0.003094	0.459549
-7.320769	-0.320478	0.395379	0.003068	0.459547
-7.491178	-0.297989	0.400384	0.003104	0.459387
-7.601239	-0.300149	0.405389	0.003127	0.459228
-7.668612	-0.316241	0.410394	0.003141	0.459080
-7.798314	-0.312822	0.415398	0.003169	0.458912
-7.968532	-0.280749	0.420403	0.003205	0.458785
-7.941401	-0.314132	0.425408	0.003199	0.458710
-8.110093	-0.272080	0.430413	0.003234	0.458618
-8.235058	-0.305779	0.435418	0.003261	0.458332
-8.265658	-0.305138	0.440422	0.003267	0.458291
-8.451091	-0.276123	0.445427	0.003306	0.458132
-8.562339	-0.273838	0.450432	0.003330	0.457986
-8.524380	-0.314830	0.455437	0.003322	0.457900
-8.799869	-0.267707	0.460442	0.003380	0.457677
-8.712025	-0.304789	0.465446	0.003361	0.457673
-8.943317	-0.283088	0.470451	0.003410	0.457426
-8.889711	-0.314417	0.475456	0.003399	0.457394
-9.190611	-0.266940	0.480461	0.003462	0.457137
-9.141455	-0.309419	0.485466	0.003452	0.457062
-9.294871	-0.278691	0.490470	0.003484	0.456953
-9.429158	-0.286381	0.495475	0.003513	0.456740
-9.361537	-0.339202	0.500480	0.003498	0.456655
-9.723462	-0.259916	0.505485	0.003575	0.456421
-9.593713	-0.331326	0.510490	0.003547	0.456359
-9.961112	-0.251534	0.515494	0.003625	0.456118
-9.784489	-0.323314	0.520499	0.003588	0.456121
-9.961859	-0.328859	0.525504	0.003625	0.455855
-10.104368	-0.290559	0.530509	0.003655	0.455786
-10.242848	-0.301796	0.535514	0.003684	0.455555
-10.231781	-0.329746	0.540518	0.003682	0.455476
-10.368641	-0.323113	0.545523	0.003711	0.455308
-10.524151	-0.302979	0.550528	0.003744	0.455159
-10.602033	-0.291029	0.555533	0.003760	0.455091
-10.910038	-0.233240	0.560538	0.003825	0.454858
-10.825411	-0.266864	0.565542	0.003807	0.454861
-10.785339	-0.332082	0.570547	0.003799	0.454696
-11.051303	-0.272590	0.575552	0.003855	0.454526
-11.141950	-0.258956	0.580557	0.003874	0.454446
-11.342357	-0.246440	0.585562	0.003916	0.454209
-11.224404	-0.294945	0.590566	0.003891	0.454208
-11.361781	-0.318107	0.595571	0.003920	0.453938
-11.463793	-0.290211	0.600576	0.003942	0.453890
-11.792861	-0.230587	0.605581	0.004011	0.453633
-11.591811	-0.325089	0.610586	0.003969	0.453592
-11.756094	-0.283628	0.615590	0.004003	0.453503
-12.128104	-0.200657	0.620595	0.004082	0.453265
-12.051365	-0.231871	0.625600	0.004066	0.453266
