Tue Oct 04 11:50:04 2016

Number of Points = 2705
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.459714	2.151257	0.000000	0.001020	0.480754

0.368113	2.125763	0.005005	0.001040	0.480551
0.285022	2.160668	0.010010	0.001057	0.480554
0.211706	2.189245	0.015014	0.001073	0.480549
0.257734	2.170426	0.020019	0.001063	0.480549
0.316583	2.060116	0.025024	0.001051	0.480272
0.388762	1.979371	0.030029	0.001035	0.480108
0.254375	1.963647	0.035034	0.001064	0.479881
0.237191	1.881248	0.040038	0.001067	0.479593
0.122691	1.835620	0.045043	0.001091	0.479295
0.221635	1.689222	0.050048	0.001071	0.478955
0.283947	1.545242	0.055053	0.001058	0.478574
0.218509	1.444720	0.060058	0.001071	0.478163
0.277933	1.269105	0.065062	0.001059	0.477676
0.112916	1.202073	0.070067	0.001094	0.477241
0.071234	1.049155	0.075072	0.001102	0.476691
0.070656	0.890945	0.080077	0.001103	0.476179
0.057319	0.724728	0.085082	0.001105	0.475623
-0.134175	0.632419	0.090086	0.001146	0.475068
-0.119333	0.440837	0.095091	0.001143	0.474466
-0.188147	0.287597	0.100096	0.001157	0.473876
-0.242184	0.119692	0.105101	0.001169	0.473258
-0.346301	-0.022090	0.110106	0.001191	0.472656
-0.446140	-0.159679	0.115110	0.001212	0.472074
-0.628288	-0.278853	0.120115	0.001250	0.471440
-1.292140	-0.159118	0.125120	0.001390	0.470939
-1.441337	-0.197713	0.130125	0.001421	0.470612
-1.780248	-0.157804	0.135130	0.001492	0.470287
-1.830044	-0.206776	0.140134	0.001503	0.470059
-2.088435	-0.162244	0.145139	0.001557	0.469857
-2.365434	-0.129686	0.150144	0.001616	0.469591
-2.321504	-0.155129	0.155149	0.001606	0.469566
-2.574818	-0.137633	0.160154	0.001660	0.469282
-2.687480	-0.091031	0.165158	0.001683	0.469283
-2.707687	-0.152317	0.170163	0.001688	0.469054
-2.783109	-0.150966	0.175168	0.001703	0.468957
