Tue Oct 04 11:44:25 2016

Number of Points = 2704
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.501854	2.231109	0.000000	0.001956	0.475123

0.411779	2.296948	0.005005	0.001975	0.475215
0.348902	2.321691	0.010010	0.001988	0.475211
0.454695	2.278765	0.015014	0.001966	0.475212
0.509004	2.251222	0.020019	0.001954	0.475194
0.412953	2.203761	0.025024	0.001975	0.474912
0.403451	2.194158	0.030029	0.001977	0.474867
0.332944	2.134715	0.035034	0.001992	0.474579
0.452049	2.011409	0.040038	0.001967	0.474337
0.423981	1.932449	0.045043	0.001973	0.474042
0.409535	1.839899	0.050048	0.001976	0.473721
0.340848	1.739899	0.055053	0.001991	0.473303
0.345885	1.614818	0.060058	0.001990	0.472902
0.364644	1.499545	0.065062	0.001986	0.472550
0.256375	1.387743	0.070067	0.002009	0.472040
0.180568	1.288032	0.075072	0.002025	0.471611
0.132426	1.141727	0.080077	0.002035	0.471068
0.142550	0.988517	0.085082	0.002033	0.470579
0.086282	0.843154	0.090086	0.002045	0.470026
0.029406	0.684141	0.095091	0.002057	0.469427
0.131241	0.460364	0.100096	0.002036	0.468829
0.055963	0.284954	0.105101	0.002052	0.468149
-0.152237	0.176536	0.110106	0.002096	0.467510
-0.172127	-0.015902	0.115110	0.002100	0.466847
-0.354352	-0.141388	0.120115	0.002139	0.466184
-0.785693	-0.134124	0.125120	0.002230	0.465621
-1.348029	-0.028609	0.130125	0.002348	0.465205
-1.584507	-0.019738	0.135130	0.002398	0.464912
-1.704919	-0.051833	0.140134	0.002424	0.464641
-1.777926	-0.079038	0.145139	0.002439	0.464450
-2.253242	0.053420	0.150144	0.002539	0.464241
-2.212347	0.017076	0.155149	0.002531	0.464175
-2.461258	0.041639	0.160154	0.002583	0.463916
-2.327584	-0.017269	0.165158	0.002555	0.463902
-2.565647	-0.005475	0.170163	0.002605	0.463616
-2.449929	-0.076887	0.175168	0.002581	0.463536
-2.928543	0.046074	0.180173	0.002682	0.463290
-2.838642	0.008241	0.185178	0.002663	0.463286
-2.962366	-0.006623	0.190182	0.002689	0.463067
-2.926304	-0.046007	0.195187	0.002682	0.462984
-3.182184	-0.016702	0.200192	0.002736	0.462731
-3.115875	-0.061959	0.205197	0.002722	0.462670
-3.529636	0.040471	0.210202	0.002809	0.462444
-3.467976	0.004981	0.215206	0.002796	0.462410
-3.467783	-0.011683	0.220211	0.002796	0.462354
-3.742231	0.017342	0.225216	0.002854	0.462074
-3.607354	-0.063184	0.230221	0.002826	0.461989
-3.867151	-0.025182	0.235226	0.002881	0.461759
-3.945561	0.006641	0.240230	0.002897	0.461757
-4.032418	-0.048178	0.245235	0.002916	0.461454
-4.042321	-0.053731	0.250240	0.002918	0.461421
-4.257878	-0.049920	0.255245	0.002963	0.461137
-4.246495	-0.075629	0.260250	0.002961	0.461066
-4.555210	-0.025474	0.265254	0.003026	0.460809
-4.647167	0.010936	0.270259	0.003046	0.460804
-4.601159	-0.043938	0.275264	0.003036	0.460683
-4.849663	0.003264	0.280269	0.003088	0.460498
-4.813346	-0.020791	0.285274	0.003081	0.460467
-5.179628	0.045848	0.290278	0.003158	0.460185
-5.065309	-0.002222	0.295283	0.003134	0.460181
-5.113463	-0.027421	0.300288	0.003144	0.460029
-5.335106	0.019048	0.305293	0.003191	0.459879
-5.448441	0.065968	0.310298	0.003215	0.459880
-5.411124	-0.019620	0.315302	0.003207	0.459643
-5.485944	-0.018127	0.320307	0.003223	0.459544
-5.741330	0.001505	0.325312	0.003277	0.459257
-5.640321	-0.047955	0.330317	0.003256	0.459230
-5.866914	-0.029497	0.335322	0.003304	0.458979
-5.921572	-0.026380	0.340326	0.003315	0.458913
-6.158915	-0.003521	0.345331	0.003365	0.458661
-6.135443	-0.027360	0.350336	0.003361	0.458613
-6.225962	-0.006787	0.355341	0.003380	0.458556
-6.628046	0.080256	0.360346	0.003464	0.458293
-6.500074	0.029028	0.365350	0.003438	0.458296
-6.529074	0.003095	0.370355	0.003444	0.458168
-6.684177	0.013956	0.375360	0.003477	0.457990
-6.680599	-0.024201	0.380365	0.003476	0.457865
-6.823871	-0.020911	0.385370	0.003506	0.457677
-6.924115	-0.013199	0.390374	0.003527	0.457564
-7.196207	0.049589	0.395379	0.003585	0.457398
-7.179109	0.041796	0.400384	0.003581	0.457395
-7.365972	0.033830	0.405389	0.003621	0.457108
-7.267882	-0.021244	0.410394	0.003600	0.457058
-7.529917	0.029140	0.415398	0.003656	0.456864
-7.744103	0.081672	0.420403	0.003701	0.456743
-7.693493	0.060422	0.425408	0.003690	0.456741
-7.785138	0.037738	0.430413	0.003710	0.456536
-7.816028	0.018171	0.435418	0.003716	0.456427
-8.023884	0.035760	0.440422	0.003760	0.456197
-7.964954	-0.009153	0.445427	0.003748	0.456126
-8.129590	0.021982	0.450432	0.003782	0.456002
-8.357351	0.055465	0.455437	0.003831	0.455798
-8.298908	-0.016594	0.460442	0.003818	0.455635
-8.374669	-0.029998	0.465446	0.003834	0.455483
-8.549795	-0.013763	0.470451	0.003871	0.455294
-8.580335	-0.038143	0.475456	0.003878	0.455168
-8.706914	-0.040618	0.480461	0.003905	0.454983
-8.875059	-0.004538	0.485466	0.003940	0.454870
-9.202530	0.078609	0.490470	0.004009	0.454695
-9.164501	0.014848	0.495475	0.004001	0.454531
-9.215899	0.035896	0.500480	0.004012	0.454530
-9.186627	-0.013516	0.505485	0.004006	0.454403
-9.468327	0.047084	0.510490	0.004066	0.454215
-9.370395	-0.024203	0.515494	0.004045	0.454108
-9.604058	0.008490	0.520499	0.004094	0.453893
-9.574227	-0.040444	0.525504	0.004088	0.453767
-9.684362	-0.045543	0.530509	0.004111	0.453596
-9.886724	-0.029622	0.535514	0.004154	0.453366
-9.775646	-0.104348	0.540518	0.004131	0.453267
-10.204828	-0.011207	0.545523	0.004221	0.452983
-10.111262	-0.056124	0.550528	0.004202	0.452960
-10.278711	-0.042234	0.555533	0.004237	0.452772
-10.364430	-0.044524	0.560538	0.004255	0.452644
-10.524310	-0.020785	0.565542	0.004289	0.452500
-10.571876	-0.029772	0.570547	0.004299	0.452402
-10.602025	-0.039178	0.575552	0.004306	0.452327
-10.811573	-0.027940	0.580557	0.004350	0.452071
-10.759410	-0.100100	0.585562	0.004339	0.451897
-11.179306	0.029539	0.590566	0.004427	0.451750
-11.080129	-0.009604	0.595571	0.004407	0.451755
-11.213963	-0.014271	0.600576	0.004435	0.451550
-11.310922	-0.008512	0.605581	0.004455	0.451433
-11.411570	0.011968	0.610586	0.004477	0.451361
-11.653058	0.045219	0.615590	0.004528	0.451135
-11.480457	-0.025183	0.620595	0.004491	0.451136
-11.654811	-0.043545	0.625600	0.004528	0.450827
-11.638119	-0.081456	0.630605	0.004525	0.450720
-12.045283	0.019938	0.635610	0.004611	0.450494
-12.006520	0.002344	0.640614	0.004603	0.450488
-12.003142	-0.064032	0.645619	0.004602	0.450264
-12.226799	0.001230	0.650624	0.004649	0.450172
-12.368389	0.018576	0.655629	0.004679	0.450032
-12.501287	0.026910	0.660634	0.004707	0.449872
-12.369753	-0.030115	0.665638	0.004680	0.449861
-12.691403	0.007679	0.670643	0.004747	0.449537
-12.561548	-0.051647	0.675648	0.004720	0.449516
-13.025472	0.053943	0.680653	0.004818	0.449223
-12.828292	-0.028098	0.685658	0.004777	0.449219
-12.911390	-0.040121	0.690662	0.004794	0.449060
-13.036404	-0.033563	0.695667	0.004821	0.448905
-13.216734	-0.024395	0.700672	0.004859	0.448681
-13.231824	-0.039454	0.705677	0.004862	0.448607
-13.455360	0.000793	0.710682	0.004909	0.448429
-13.608144	0.020621	0.715686	0.004941	0.448281
-13.573091	0.005945	0.720691	0.004934	0.448279
-13.634132	-0.045431	0.725696	0.004947	0.448015
-13.675046	-0.049856	0.730701	0.004956	0.447941
-14.126007	0.052775	0.735706	0.005051	0.447656
-13.965940	-0.012313	0.740710	0.005017	0.447658
-13.922312	-0.084532	0.745715	0.005008	0.447470
-14.061210	-0.063284	0.750720	0.005038	0.447345
-14.430837	-0.001467	0.755725	0.005115	0.447034
-14.401588	-0.012173	0.760730	0.005109	0.447038
-14.456673	-0.037980	0.765734	0.005121	0.446870
-14.608728	-0.020481	0.770739	0.005153	0.446714
-14.701695	-0.050442	0.775744	0.005173	0.446478
-14.858553	-0.009947	0.780749	0.005206	0.446394
-14.913358	0.010148	0.785754	0.005218	0.446385
-15.138733	0.018504	0.790758	0.005265	0.446093
-15.031359	-0.025147	0.795763	0.005243	0.446094
-15.170259	-0.041416	0.800768	0.005272	0.445840
-15.282690	-0.017925	0.805773	0.005296	0.445760
-15.526326	0.017903	0.810778	0.005347	0.445537
-15.477571	-0.026827	0.815782	0.005337	0.445451
-15.459750	-0.069594	0.820787	0.005333	0.445327
-15.737831	-0.011547	0.825792	0.005392	0.445132
-15.936569	0.018401	0.830797	0.005434	0.444952
-15.938577	-0.015456	0.835802	0.005434	0.444831
