Tue Oct 04 11:38:26 2016

Number of Points = 2702
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.732749	2.128846	0.000000	0.000796	0.482078

0.732698	2.122753	0.005005	0.000796	0.482059
0.659834	2.076897	0.010010	0.000812	0.481817
0.532489	2.127784	0.015014	0.000838	0.481813
0.587449	2.104580	0.020019	0.000827	0.481811
0.640512	2.043015	0.025024	0.000816	0.481684
0.595847	1.999903	0.030029	0.000825	0.481488
0.586155	1.928521	0.035034	0.000827	0.481247
0.515404	1.894534	0.040038	0.000842	0.481045
0.527192	1.808701	0.045043	0.000839	0.480786
0.406899	1.767277	0.050048	0.000865	0.480495
0.457926	1.643445	0.055053	0.000854	0.480165
0.628575	1.455289	0.060058	0.000818	0.479786
0.507000	1.360310	0.065062	0.000843	0.479321
0.473795	1.224580	0.070067	0.000850	0.478840
0.380837	1.118812	0.075072	0.000870	0.478377
0.330499	0.985936	0.080077	0.000881	0.477883
0.267442	0.860824	0.085082	0.000894	0.477396
0.281737	0.695001	0.090086	0.000891	0.476879
0.071855	0.605929	0.095091	0.000935	0.476313
0.115262	0.415342	0.100096	0.000926	0.475754
-0.161470	0.363195	0.105101	0.000984	0.475217
-0.229340	0.236602	0.110106	0.000998	0.474716
-0.322705	0.098993	0.115110	0.001018	0.474144
-0.521304	0.037748	0.120115	0.001060	0.473680
-0.584859	-0.091218	0.125120	0.001073	0.473176
-0.887267	-0.096334	0.130125	0.001137	0.472755
-1.194791	-0.076143	0.135130	0.001201	0.472409
-1.357309	-0.108719	0.140134	0.001235	0.472085
-1.767100	-0.026976	0.145139	0.001322	0.471802
-1.652357	-0.129908	0.150144	0.001297	0.471620
-1.859049	-0.100852	0.155149	0.001341	0.471438
-2.220489	-0.032286	0.160154	0.001417	0.471177
-2.177176	-0.099206	0.165158	0.001408	0.471016
-2.402439	-0.058739	0.170163	0.001455	0.470846
-2.504263	-0.016386	0.175168	0.001476	0.470848
-2.468693	-0.108505	0.180173	0.001469	0.470595
-2.619002	-0.064193	0.185178	0.001501	0.470538
-2.861443	-0.049571	0.190182	0.001552	0.470260
-2.763602	-0.101123	0.195187	0.001531	0.470223
-2.985890	-0.076167	0.200192	0.001578	0.470005
-3.095713	-0.055343	0.205197	0.001601	0.469926
-3.108232	-0.068466	0.210202	0.001603	0.469866
-3.368551	-0.047672	0.215206	0.001658	0.469584
-3.335780	-0.061348	0.220211	0.001651	0.469584
-3.494770	-0.076755	0.225216	0.001685	0.469319
-3.555710	-0.065732	0.230221	0.001697	0.469273
-3.738956	-0.058139	0.235226	0.001736	0.469051
-3.802049	-0.062363	0.240230	0.001749	0.468952
-3.769261	-0.080748	0.245235	0.001742	0.468936
-4.132530	-0.015840	0.250240	0.001819	0.468659
-4.110243	-0.023962	0.255245	0.001814	0.468663
-4.125810	-0.055765	0.260250	0.001817	0.468537
-4.411712	-0.000604	0.265254	0.001877	0.468333
-4.399763	-0.005998	0.270259	0.001875	0.468331
-4.428560	-0.058871	0.275264	0.001881	0.468119
-4.534100	-0.046260	0.280269	0.001903	0.468018
-4.839213	0.025820	0.285274	0.001967	0.467843
-4.955462	0.032971	0.290278	0.001991	0.467709
-4.799571	-0.030987	0.295283	0.001959	0.467709
-4.887729	-0.033506	0.300288	0.001977	0.467582
-5.229230	0.056355	0.305293	0.002049	0.467416
-5.097274	-0.002754	0.310298	0.002021	0.467400
-5.361946	0.008129	0.315302	0.002077	0.467078
-5.188882	-0.078697	0.320307	0.002040	0.467026
-5.579516	0.003549	0.325312	0.002122	0.466768
-5.540730	-0.011782	0.330317	0.002114	0.466770
-5.650822	-0.027424	0.335322	0.002137	0.466569
-5.741760	-0.026072	0.340326	0.002156	0.466451
-6.007139	0.017531	0.345331	0.002212	0.466235
-6.106217	0.031177	0.350336	0.002233	0.466146
-6.115555	0.035285	0.355341	0.002235	0.466147
-6.042990	-0.054252	0.360346	0.002220	0.465949
-6.256934	-0.006257	0.365350	0.002265	0.465818
-6.499645	0.027805	0.370355	0.002316	0.465601
-6.478309	-0.011328	0.375360	0.002311	0.465500
-6.477785	-0.022246	0.380365	0.002311	0.465465
-6.655513	-0.032652	0.385370	0.002348	0.465189
-6.699699	-0.055239	0.390374	0.002358	0.465054
-7.014252	0.021514	0.395379	0.002424	0.464881
-7.010843	0.021502	0.400384	0.002423	0.464885
-7.153342	0.008210	0.405389	0.002453	0.464647
-7.015142	-0.078848	0.410394	0.002424	0.464547
-7.274677	-0.024465	0.415398	0.002478	0.464374
-7.396747	-0.016380	0.420403	0.002504	0.464235
-7.440640	-0.026698	0.425408	0.002513	0.464141
-7.661321	-0.003466	0.430413	0.002560	0.463917
-7.659844	-0.010992	0.435418	0.002559	0.463894
-7.878022	-0.005105	0.440422	0.002605	0.463616
-7.868645	-0.009205	0.445427	0.002603	0.463616
-7.932242	-0.022972	0.450432	0.002617	0.463483
-8.242659	0.047019	0.455437	0.002682	0.463292
-8.273723	0.059640	0.460442	0.002688	0.463292
