Tue Oct 04 12:09:24 2016

Number of Points = 2705
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.521593	2.084130	0.000000	0.000795	0.481945

0.427628	2.082626	0.005005	0.000814	0.481817
0.530312	2.013593	0.010010	0.000793	0.481731
0.514971	1.946911	0.015014	0.000796	0.481498
0.305200	1.949747	0.020019	0.000840	0.481232
0.268230	1.923347	0.025024	0.000848	0.481099
0.381765	1.789339	0.030029	0.000824	0.480819
0.454905	1.650348	0.035034	0.000808	0.480470
0.274362	1.617670	0.040038	0.000846	0.480127
0.269936	1.503063	0.045043	0.000847	0.479754
0.158810	1.431800	0.050048	0.000871	0.479378
0.254441	1.255184	0.055053	0.000850	0.478937
0.150536	1.160213	0.060058	0.000872	0.478494
0.247793	0.964563	0.065062	0.000852	0.477993
0.053603	0.900162	0.070067	0.000893	0.477528
0.130832	0.691054	0.075072	0.000876	0.476956
0.045363	0.543340	0.080077	0.000894	0.476365
0.052928	0.357687	0.085082	0.000893	0.475774
-0.060292	0.210826	0.090086	0.000917	0.475148
-0.003595	-0.008109	0.095091	0.000905	0.474513
-0.096259	-0.187597	0.100096	0.000924	0.473806
-0.348372	-0.285290	0.105101	0.000977	0.473152
-0.854178	-0.247917	0.110106	0.001084	0.472597
-1.278909	-0.173166	0.115110	0.001173	0.472272
-1.556428	-0.168474	0.120115	0.001231	0.471915
-1.618754	-0.207651	0.125120	0.001244	0.471704
-1.921409	-0.149187	0.130125	0.001308	0.471489
-1.968892	-0.211444	0.135130	0.001318	0.471222
-2.095041	-0.210913	0.140134	0.001344	0.471054
-2.362496	-0.161092	0.145139	0.001401	0.470858
-2.509881	-0.100329	0.150144	0.001432	0.470859
-2.553964	-0.171869	0.155149	0.001441	0.470566
-2.475223	-0.212075	0.160154	0.001424	0.470540
-2.753583	-0.190650	0.165158	0.001483	0.470236
-2.887044	-0.134642	0.170163	0.001511	0.470240
-2.989081	-0.166022	0.175168	0.001532	0.470000
-3.007607	-0.177652	0.180173	0.001536	0.469938
-3.031566	-0.209225	0.185178	0.001541	0.469802
-3.321667	-0.150878	0.190182	0.001602	0.469603
-3.358348	-0.137221	0.195187	0.001610	0.469598
-3.442737	-0.195574	0.200192	0.001627	0.469293
-3.327242	-0.272080	0.205197	0.001603	0.469198
-3.828128	-0.137906	0.210202	0.001708	0.468963
-3.713017	-0.185391	0.215206	0.001684	0.468963
-3.801030	-0.214283	0.220211	0.001703	0.468749
-3.965639	-0.171227	0.225216	0.001737	0.468669
-4.029274	-0.183446	0.230221	0.001751	0.468543
-4.169525	-0.189136	0.235226	0.001780	0.468335
-4.207029	-0.196315	0.240230	0.001788	0.468261
-4.522686	-0.137648	0.245235	0.001854	0.468027
-4.368262	-0.199861	0.250240	0.001822	0.468031
-4.645634	-0.157668	0.255245	0.001880	0.467795
-4.611675	-0.197212	0.260250	0.001873	0.467711
-4.724611	-0.168293	0.265254	0.001897	0.467654
-4.902973	-0.167058	0.270259	0.001934	0.467417
-5.025529	-0.116068	0.275264	0.001960	0.467419
-4.996594	-0.199648	0.280269	0.001954	0.467183
-5.163915	-0.160219	0.285274	0.001989	0.467087
-5.260453	-0.181326	0.290278	0.002009	0.466886
-5.332864	-0.186943	0.295283	0.002024	0.466770
-5.395788	-0.179504	0.300288	0.002038	0.466709
-5.807702	-0.088670	0.305293	0.002124	0.466451
-5.528802	-0.204354	0.310298	0.002066	0.466447
-5.788341	-0.165366	0.315302	0.002120	0.466224
-5.919740	-0.134778	0.320307	0.002148	0.466147
-5.902571	-0.152333	0.325312	0.002144	0.466112
-6.021770	-0.193281	0.330317	0.002169	0.465815
-6.022094	-0.238490	0.335322	0.002169	0.465666
-6.314503	-0.166047	0.340326	0.002231	0.465508
-6.261854	-0.209124	0.345331	0.002219	0.465437
-6.481905	-0.192913	0.350336	0.002266	0.465192
-6.422565	-0.246957	0.355341	0.002253	0.465094
-6.800739	-0.152486	0.360346	0.002333	0.464892
-6.752668	-0.171973	0.365350	0.002323	0.464893
-7.045585	-0.129538	0.370355	0.002384	0.464635
-6.974611	-0.181703	0.375360	0.002369	0.464559
-7.132175	-0.116356	0.380365	0.002402	0.464561
-7.305181	-0.111887	0.385370	0.002439	0.464341
-7.124157	-0.215164	0.390374	0.002401	0.464245
-7.245955	-0.193190	0.395379	0.002426	0.464152
-7.489058	-0.161967	0.400384	0.002477	0.463924
-7.522445	-0.186197	0.405389	0.002484	0.463798
-7.656107	-0.183695	0.410394	0.002512	0.463625
-7.803387	-0.132892	0.415398	0.002543	0.463593
-7.941060	-0.164385	0.420403	0.002572	0.463300
-7.866792	-0.196032	0.425408	0.002556	0.463296
-8.024111	-0.194201	0.430413	0.002590	0.463088
-8.166553	-0.162866	0.435418	0.002619	0.462998
-8.249681	-0.184772	0.440422	0.002637	0.462811
-8.533874	-0.108797	0.445427	0.002697	0.462676
-8.332560	-0.209437	0.450432	0.002654	0.462616
-8.636828	-0.143428	0.455437	0.002718	0.462420
-8.544458	-0.197660	0.460442	0.002699	0.462366
-9.009496	-0.092748	0.465446	0.002797	0.462079
-8.860818	-0.154098	0.470451	0.002765	0.462078
-8.999901	-0.097737	0.475456	0.002794	0.462076
