Tue Oct 04 11:35:46 2016

Number of Points = 2704
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.498699	2.194911	0.000000	0.001181	0.479881

0.536651	2.197901	0.005005	0.001174	0.479941
0.466539	2.226351	0.010010	0.001188	0.479939
0.396578	2.184273	0.015014	0.001203	0.479712
0.435344	2.135330	0.020019	0.001195	0.479605
0.484066	2.094739	0.025024	0.001185	0.479539
0.466662	2.025478	0.030029	0.001188	0.479293
0.456648	1.947421	0.035034	0.001191	0.479029
0.447209	1.868556	0.040038	0.001193	0.478763
0.392492	1.796168	0.045043	0.001204	0.478457
0.377356	1.703709	0.050048	0.001207	0.478139
0.325326	1.615434	0.055053	0.001218	0.477785
0.327795	1.490904	0.060058	0.001218	0.477386
0.279786	1.379914	0.065062	0.001228	0.476964
0.280436	1.235369	0.070067	0.001228	0.476498
0.254526	1.096184	0.075072	0.001234	0.476013
0.235124	0.933094	0.080077	0.001238	0.475458
0.199974	0.782889	0.085082	0.001245	0.474924
0.255085	0.574508	0.090086	0.001234	0.474321
0.194484	0.401596	0.095091	0.001246	0.473678
0.038080	0.265743	0.100096	0.001279	0.473026
-0.134115	0.165199	0.105101	0.001316	0.472468
-0.091631	-0.046043	0.110106	0.001307	0.471835
-0.302901	-0.156428	0.115110	0.001351	0.471190
-0.572036	-0.222726	0.120115	0.001408	0.470611
-0.935679	-0.230948	0.125120	0.001484	0.470095
-1.337721	-0.182747	0.130125	0.001569	0.469711
-1.525184	-0.199835	0.135130	0.001609	0.469402
-1.782194	-0.155298	0.140134	0.001663	0.469202
-2.020040	-0.133714	0.145139	0.001713	0.468951
-2.000226	-0.193079	0.150144	0.001709	0.468783
-2.068231	-0.204316	0.155149	0.001723	0.468654
-2.515124	-0.116073	0.160154	0.001817	0.468340
-2.438332	-0.152308	0.165158	0.001801	0.468324
-2.628824	-0.080781	0.170163	0.001841	0.468302
-2.738417	-0.122307	0.175168	0.001864	0.468017
-2.545772	-0.232605	0.180173	0.001824	0.467914
-2.915157	-0.144809	0.185178	0.001901	0.467703
-2.915367	-0.149085	0.190182	0.001901	0.467689
-3.127708	-0.143954	0.195187	0.001946	0.467418
-3.209153	-0.111459	0.200192	0.001963	0.467415
-3.190955	-0.163423	0.205197	0.001959	0.467268
-3.387646	-0.140343	0.210202	0.002001	0.467077
-3.447086	-0.158063	0.215206	0.002013	0.466938
-3.574929	-0.159525	0.220211	0.002040	0.466760
-3.512785	-0.207278	0.225216	0.002027	0.466686
-3.871172	-0.134635	0.230221	0.002103	0.466439
-3.767099	-0.178741	0.235226	0.002081	0.466435
-4.147232	-0.110284	0.240230	0.002161	0.466145
-4.122623	-0.119678	0.245235	0.002156	0.466147
-4.143848	-0.138285	0.250240	0.002160	0.466056
-4.479800	-0.072680	0.255245	0.002231	0.465817
-4.389063	-0.111164	0.260250	0.002212	0.465812
-4.397105	-0.162807	0.265254	0.002214	0.465630
-4.499918	-0.157260	0.270259	0.002235	0.465509
-4.670065	-0.133810	0.275264	0.002271	0.465355
-4.930710	-0.076546	0.280269	0.002326	0.465190
-4.785897	-0.136550	0.285274	0.002295	0.465188
-4.951426	-0.157360	0.290278	0.002330	0.464893
-5.008734	-0.134456	0.295283	0.002342	0.464891
-5.309041	-0.109285	0.300288	0.002406	0.464565
-5.229412	-0.145473	0.305293	0.002389	0.464553
-5.301977	-0.158299	0.310298	0.002404	0.464412
-5.540333	-0.112839	0.315302	0.002454	0.464237
-5.566259	-0.124713	0.320307	0.002460	0.464162
-5.762274	-0.118023	0.325312	0.002501	0.463917
-5.752414	-0.123652	0.330317	0.002499	0.463912
-5.898857	-0.135257	0.335322	0.002530	0.463673
-5.919778	-0.143711	0.340326	0.002534	0.463616
-6.049903	-0.147025	0.345331	0.002562	0.463427
-6.159828	-0.144445	0.350336	0.002585	0.463285
-6.205741	-0.185692	0.355341	0.002595	0.463085
-6.406634	-0.135508	0.360346	0.002637	0.462977
-6.379208	-0.206752	0.365350	0.002631	0.462777
-6.654469	-0.126636	0.370355	0.002689	0.462667
-6.644082	-0.141790	0.375360	0.002687	0.462631
-6.859639	-0.119553	0.380365	0.002732	0.462410
-6.815656	-0.137755	0.385370	0.002723	0.462409
-7.051447	-0.134648	0.390374	0.002773	0.462096
-7.055525	-0.140582	0.395379	0.002774	0.462071
-7.164655	-0.153861	0.400384	0.002797	0.461877
-7.205352	-0.173030	0.405389	0.002805	0.461757
-7.452277	-0.112803	0.410394	0.002857	0.461619
-7.691627	-0.069427	0.415398	0.002908	0.461435
-7.663082	-0.082151	0.420403	0.002902	0.461432
-7.532324	-0.179519	0.425408	0.002874	0.461286
-7.738143	-0.140037	0.430413	0.002917	0.461135
-7.992353	-0.108189	0.435418	0.002971	0.460892
-7.954189	-0.151596	0.440422	0.002963	0.460799
-7.970975	-0.156626	0.445427	0.002966	0.460759
-8.265181	-0.116389	0.450432	0.003028	0.460489
-8.123238	-0.219044	0.455437	0.002999	0.460340
-8.413172	-0.148555	0.460442	0.003060	0.460177
-8.593603	-0.074449	0.465446	0.003098	0.460177
-8.699881	-0.106755	0.470451	0.003120	0.459922
-8.702356	-0.118259	0.475456	0.003121	0.459880
-8.844862	-0.059956	0.480461	0.003151	0.459879
-9.042911	-0.075208	0.485466	0.003192	0.459555
-8.942448	-0.119431	0.490470	0.003171	0.459545
-9.143009	-0.059345	0.495475	0.003213	0.459470
-9.334232	-0.051039	0.500480	0.003254	0.459234
-9.305247	-0.063463	0.505485	0.003248	0.459232
-9.340844	-0.120828	0.510490	0.003255	0.458990
-9.364428	-0.134010	0.515494	0.003260	0.458913
-9.565974	-0.122816	0.520499	0.003302	0.458672
-9.656826	-0.101689	0.525504	0.003322	0.458618
-9.929481	-0.058910	0.530509	0.003379	0.458385
-10.037913	-0.041934	0.535514	0.003402	0.458292
-9.979057	-0.065980	0.540518	0.003390	0.458292
-10.074690	-0.098714	0.545523	0.003410	0.458049
-10.125310	-0.097122	0.550528	0.003420	0.457985
-10.266255	-0.108432	0.555533	0.003450	0.457751
-10.391021	-0.081008	0.560538	0.003476	0.457671
-10.487178	-0.093138	0.565542	0.003497	0.457497
-10.559608	-0.094986	0.570547	0.003512	0.457390
-10.594901	-0.143666	0.575552	0.003519	0.457177
-10.942908	-0.036648	0.580557	0.003593	0.457056
-10.926714	-0.043571	0.585562	0.003589	0.457054
-11.018928	-0.096872	0.590566	0.003609	0.456747
-10.959622	-0.131396	0.595571	0.003596	0.456712
-11.252986	-0.098824	0.600576	0.003658	0.456415
-11.258678	-0.095286	0.605581	0.003659	0.456419
-11.549984	-0.054367	0.610586	0.003720	0.456153
-11.444414	-0.108834	0.615590	0.003698	0.456115
-11.603262	-0.060541	0.620595	0.003732	0.456057
-11.880586	-0.026850	0.625600	0.003790	0.455786
-11.870907	-0.030968	0.630605	0.003788	0.455785
-11.815430	-0.101830	0.635610	0.003776	0.455622
-12.083718	-0.034129	0.640614	0.003833	0.455478
-11.991175	-0.107369	0.645619	0.003813	0.455359
-12.108847	-0.116189	0.650624	0.003838	0.455165
-12.249475	-0.117292	0.655629	0.003868	0.454965
-12.447749	-0.065376	0.660634	0.003910	0.454865
-12.456971	-0.101762	0.665638	0.003912	0.454729
-12.618363	-0.093273	0.670643	0.003946	0.454532
-12.651315	-0.108259	0.675648	0.003953	0.454436
-12.976244	-0.040400	0.680653	0.004021	0.454213
-12.845226	-0.093629	0.685658	0.003993	0.454214
-12.898750	-0.153051	0.690662	0.004005	0.453938
-12.930186	-0.176561	0.695667	0.004011	0.453814
-13.312669	-0.084593	0.700672	0.004092	0.453592
-13.255306	-0.112220	0.705677	0.004080	0.453578
-13.533689	-0.089997	0.710682	0.004138	0.453265
-13.435589	-0.130528	0.715686	0.004118	0.453264
-13.765426	-0.052175	0.720691	0.004187	0.453069
-13.786443	-0.076169	0.725696	0.004192	0.452958
-13.685460	-0.119031	0.730701	0.004170	0.452953
-13.938783	-0.105440	0.735706	0.004224	0.452645
-13.926198	-0.111702	0.740710	0.004221	0.452641
-14.155789	-0.085124	0.745715	0.004269	0.452410
-14.151918	-0.090325	0.750720	0.004269	0.452397
-14.363960	-0.079059	0.755725	0.004313	0.452139
-14.444996	-0.068172	0.760730	0.004330	0.452062
-14.486185	-0.088438	0.765734	0.004339	0.451935
-14.799590	-0.015029	0.770739	0.004405	0.451746
-14.656844	-0.074237	0.775744	0.004375	0.451744
-14.836895	-0.078384	0.780749	0.004413	0.451477
-14.868221	-0.080634	0.785754	0.004420	0.451425
-14.914642	-0.126924	0.790758	0.004429	0.451202
-15.012601	-0.111182	0.795763	0.004450	0.451118
-15.430275	-0.035398	0.800768	0.004538	0.450790
-15.305198	-0.086227	0.805773	0.004512	0.450792
-15.373395	-0.084667	0.810778	0.004526	0.450701
-15.627995	-0.041438	0.815782	0.004580	0.450491
