Tue Oct 04 11:47:24 2016

Number of Points = 2702
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.829132	2.154490	0.000000	0.000755	0.482417

0.740489	2.136607	0.005005	0.000774	0.482243
0.781535	2.083441	0.010010	0.000765	0.482128
0.845355	2.051794	0.015014	0.000752	0.482111
0.819581	1.968902	0.020019	0.000757	0.481812
0.911114	1.866197	0.025024	0.000738	0.481604
0.811477	1.812325	0.030029	0.000759	0.481301
0.839388	1.710745	0.035034	0.000753	0.481013
0.840569	1.597931	0.040038	0.000753	0.480653
0.910253	1.427681	0.045043	0.000738	0.480199
0.764846	1.355554	0.050048	0.000768	0.479776
0.689327	1.247021	0.055053	0.000784	0.479328
0.703867	1.086858	0.060058	0.000781	0.478833
0.653017	0.959514	0.065062	0.000792	0.478356
0.528428	0.855792	0.070067	0.000818	0.477857
0.479647	0.716211	0.075072	0.000828	0.477342
0.489965	0.546624	0.080077	0.000826	0.476808
0.438397	0.382160	0.085082	0.000837	0.476208
0.541078	0.144407	0.090086	0.000815	0.475575
0.395492	-0.001430	0.095091	0.000846	0.474909
0.279422	-0.159113	0.100096	0.000870	0.474242
0.150581	-0.307507	0.105101	0.000897	0.473588
-0.341926	-0.273143	0.110106	0.001001	0.473042
-0.638064	-0.281833	0.115110	0.001063	0.472617
-0.963580	-0.253138	0.120115	0.001132	0.472275
-1.072126	-0.300644	0.125120	0.001154	0.471975
-1.241296	-0.319114	0.130125	0.001190	0.471688
-1.479471	-0.282321	0.135130	0.001240	0.471489
-1.744897	-0.264572	0.140134	0.001296	0.471191
-1.602441	-0.367549	0.145139	0.001266	0.471046
-1.915400	-0.296506	0.150144	0.001332	0.470858
-1.989241	-0.328325	0.155149	0.001347	0.470655
-2.105490	-0.314207	0.160154	0.001372	0.470545
-2.357472	-0.289636	0.165158	0.001424	0.470286
-2.344442	-0.311332	0.170163	0.001422	0.470233
-2.439814	-0.302439	0.175168	0.001442	0.470134
-2.634669	-0.286438	0.180173	0.001483	0.469925
-2.527682	-0.350609	0.185178	0.001460	0.469859
-2.813641	-0.314092	0.190182	0.001520	0.469593
-2.862315	-0.305565	0.195187	0.001530	0.469556
-3.170334	-0.263902	0.200192	0.001595	0.469278
-3.130893	-0.280763	0.205197	0.001587	0.469276
-3.112570	-0.306987	0.210202	0.001583	0.469215
-3.370362	-0.279303	0.215206	0.001637	0.468958
-3.399023	-0.269185	0.220211	0.001643	0.468953
-3.523189	-0.281240	0.225216	0.001669	0.468746
-3.535001	-0.304510	0.230221	0.001672	0.468654
-3.615927	-0.328143	0.235226	0.001689	0.468467
-3.758688	-0.311858	0.240230	0.001719	0.468328
-3.843646	-0.307035	0.245235	0.001736	0.468230
-4.131303	-0.252481	0.250240	0.001797	0.468021
-4.080842	-0.273405	0.255245	0.001786	0.468020
-4.185151	-0.307622	0.260250	0.001808	0.467767
-4.308526	-0.276085	0.265254	0.001834	0.467704
-4.343114	-0.305980	0.270259	0.001841	0.467559
-4.518160	-0.277036	0.275264	0.001878	0.467418
-4.298230	-0.406386	0.280269	0.001832	0.467289
-4.679892	-0.314017	0.285274	0.001912	0.467077
-4.983677	-0.262099	0.290278	0.001976	0.466837
-4.812528	-0.355063	0.295283	0.001940	0.466763
-4.890243	-0.354024	0.300288	0.001956	0.466661
-5.135029	-0.320324	0.305293	0.002007	0.466440
-5.188649	-0.297617	0.310298	0.002019	0.466443
-5.417934	-0.286013	0.315302	0.002067	0.466170
-5.320400	-0.333808	0.320307	0.002046	0.466145
-5.493124	-0.302735	0.325312	0.002083	0.466014
-5.727532	-0.267424	0.330317	0.002132	0.465812
-5.590193	-0.329702	0.335322	0.002103	0.465793
-5.865724	-0.302755	0.340326	0.002161	0.465508
-5.856916	-0.307334	0.345331	0.002159	0.465505
-5.983234	-0.323702	0.350336	0.002185	0.465279
-6.199363	-0.262118	0.355341	0.002231	0.465190
-6.188602	-0.275332	0.360346	0.002229	0.465161
-6.473402	-0.241597	0.365350	0.002288	0.464885
-6.315380	-0.305369	0.370355	0.002255	0.464889
-6.437367	-0.312847	0.375360	0.002281	0.464699
-6.604492	-0.288183	0.380365	0.002316	0.464553
-6.711501	-0.268715	0.385370	0.002338	0.464472
-6.793496	-0.304937	0.390374	0.002356	0.464240
-6.767400	-0.356073	0.395379	0.002350	0.464107
-7.040707	-0.300557	0.400384	0.002407	0.463918
-7.064819	-0.292419	0.405389	0.002412	0.463913
-7.234960	-0.310540	0.410394	0.002448	0.463621
-7.167838	-0.337876	0.415398	0.002434	0.463622
-7.459109	-0.316688	0.420403	0.002495	0.463295
-7.424052	-0.331027	0.425408	0.002488	0.463295
-7.652675	-0.318742	0.430413	0.002536	0.463024
-7.610942	-0.347102	0.435418	0.002527	0.462987
-7.833009	-0.322551	0.440422	0.002574	0.462765
-8.034148	-0.268110	0.445427	0.002616	0.462672
-8.037410	-0.266601	0.450432	0.002617	0.462672
-8.257265	-0.242971	0.455437	0.002663	0.462451
-8.133121	-0.305328	0.460442	0.002637	0.462413
-8.252146	-0.309568	0.465446	0.002662	0.462236
-8.576963	-0.224641	0.470451	0.002730	0.462075
-8.586209	-0.220767	0.475456	0.002732	0.462075
-8.582421	-0.273940	0.480461	0.002731	0.461903
-8.838512	-0.213273	0.485466	0.002785	0.461755
-8.695945	-0.277781	0.490470	0.002755	0.461736
-8.992022	-0.246488	0.495475	0.002817	0.461434
-9.002647	-0.241136	0.500480	0.002819	0.461438
-9.046462	-0.282820	0.505485	0.002828	0.461239
-9.077426	-0.301984	0.510490	0.002835	0.461133
-9.364133	-0.271188	0.515494	0.002895	0.460842
-9.372706	-0.278174	0.520499	0.002897	0.460807
-9.512467	-0.258522	0.525504	0.002926	0.460681
-9.728070	-0.225690	0.530509	0.002971	0.460495
-9.654289	-0.261188	0.535514	0.002956	0.460478
-9.874485	-0.260308	0.540518	0.003002	0.460178
-9.807797	-0.287808	0.545523	0.002988	0.460178
-10.107516	-0.248000	0.550528	0.003051	0.459900
-10.092429	-0.260028	0.555533	0.003048	0.459880
-10.231228	-0.262297	0.560538	0.003077	0.459682
-10.389803	-0.238219	0.565542	0.003110	0.459544
-10.409170	-0.230222	0.570547	0.003114	0.459545
-10.407347	-0.314064	0.575552	0.003114	0.459267
-10.505778	-0.306719	0.580557	0.003135	0.459156
-10.906413	-0.214815	0.585562	0.003219	0.458912
-10.744526	-0.280779	0.590566	0.003185	0.458914
-10.832558	-0.304466	0.595571	0.003203	0.458713
-10.960457	-0.282523	0.600576	0.003230	0.458611
-11.126298	-0.288429	0.605581	0.003265	0.458362
-11.246205	-0.261774	0.610586	0.003290	0.458287
-11.263369	-0.285741	0.615590	0.003294	0.458183
-11.510130	-0.243406	0.620595	0.003346	0.457984
-11.438403	-0.279679	0.625600	0.003330	0.457962
-11.640165	-0.283582	0.630605	0.003373	0.457670
-11.661343	-0.279986	0.635610	0.003377	0.457653
-11.791676	-0.304065	0.640614	0.003405	0.457392
-11.942211	-0.242406	0.645619	0.003436	0.457391
-12.087936	-0.260266	0.650624	0.003467	0.457130
-12.126145	-0.267233	0.655629	0.003475	0.457054
-12.168675	-0.271230	0.660634	0.003484	0.456982
-12.410086	-0.244488	0.665638	0.003534	0.456737
-12.335043	-0.284824	0.670643	0.003519	0.456706
-12.562785	-0.278053	0.675648	0.003566	0.456413
-12.572879	-0.272746	0.680653	0.003569	0.456417
-12.731829	-0.289659	0.685658	0.003602	0.456140
-12.697488	-0.315752	0.690662	0.003595	0.456100
-12.938982	-0.308972	0.695667	0.003645	0.455787
-13.034252	-0.270377	0.700672	0.003665	0.455786
-13.138702	-0.275300	0.705677	0.003687	0.455624
-13.337488	-0.236764	0.710682	0.003729	0.455479
-13.334899	-0.238343	0.715686	0.003728	0.455477
-13.504187	-0.258165	0.720691	0.003764	0.455175
-13.422147	-0.295433	0.725696	0.003747	0.455163
-13.673673	-0.268134	0.730701	0.003800	0.454906
-13.667725	-0.284947	0.735706	0.003798	0.454858
-13.905664	-0.249598	0.740710	0.003848	0.454647
-14.026144	-0.235789	0.745715	0.003874	0.454526
-13.939142	-0.304281	0.750720	0.003855	0.454415
-14.092712	-0.301837	0.755725	0.003888	0.454210
-14.201212	-0.256342	0.760730	0.003910	0.454213
-14.641059	-0.170277	0.765734	0.004003	0.453892
-14.416583	-0.262053	0.770739	0.003956	0.453894
-14.390718	-0.283215	0.775744	0.003950	0.453858
-14.846691	-0.174499	0.780749	0.004046	0.453592
-14.690025	-0.238515	0.785754	0.004013	0.453593
-14.812387	-0.246131	0.790758	0.004039	0.453397
-14.901607	-0.248361	0.795763	0.004057	0.453265
-15.004659	-0.264397	0.800768	0.004079	0.453067
-15.223879	-0.207171	0.805773	0.004125	0.452955
-15.171729	-0.237232	0.810778	0.004114	0.452926
-15.384668	-0.233006	0.815782	0.004159	0.452643
-15.294295	-0.282996	0.820787	0.004140	0.452600
-15.450879	-0.276386	0.825792	0.004173	0.452403
-15.580470	-0.261541	0.830797	0.004200	0.452273
-15.857137	-0.210111	0.835802	0.004258	0.452061
-15.928263	-0.179645	0.840806	0.004273	0.452065
-15.890904	-0.253038	0.845811	0.004265	0.451868
-15.993285	-0.246320	0.850816	0.004286	0.451747
-16.232202	-0.212260	0.855821	0.004337	0.451529
-16.175111	-0.266143	0.860826	0.004325	0.451425
-16.419910	-0.165912	0.865830	0.004376	0.451424
-16.541462	-0.202135	0.870835	0.004402	0.451130
-16.496106	-0.221284	0.875840	0.004392	0.451129
-16.643036	-0.187854	0.880845	0.004423	0.451037
-17.050362	-0.090970	0.885850	0.004508	0.450797
-16.842939	-0.176009	0.890854	0.004465	0.450798
-16.692606	-0.290907	0.895859	0.004433	0.450616
-16.992878	-0.206647	0.900864	0.004496	0.450483
-17.150069	-0.228772	0.905869	0.004529	0.450186
-17.184677	-0.219494	0.910874	0.004536	0.450170
-17.298877	-0.254293	0.915878	0.004560	0.449890
-17.255049	-0.294873	0.920883	0.004551	0.449813
-17.669304	-0.207851	0.925888	0.004638	0.449528
-17.620293	-0.227454	0.930893	0.004628	0.449530
-17.676893	-0.278357	0.935898	0.004640	0.449276
-17.849619	-0.223354	0.940902	0.004676	0.449222
-17.954831	-0.226289	0.945907	0.004698	0.449064
-18.144130	-0.193925	0.950912	0.004738	0.448908
-18.128394	-0.243146	0.955917	0.004735	0.448762
-18.289793	-0.222534	0.960922	0.004768	0.448605
-18.458592	-0.152961	0.965926	0.004804	0.448606
-18.482430	-0.189125	0.970931	0.004809	0.448448
-18.659891	-0.165807	0.975936	0.004846	0.448278
-18.654656	-0.167911	0.980941	0.004845	0.448278
-18.830807	-0.175192	0.985946	0.004882	0.448005
-18.841027	-0.181015	0.990950	0.004884	0.447971
-18.957553	-0.164909	0.995955	0.004909	0.447862
-19.166839	-0.120136	1.000960	0.004953	0.447720

-19.009152	-0.129736	1.010957	0.004919	0.447911
-18.839814	-0.182200	1.020954	0.004884	0.447970
-18.836540	-0.153846	1.030950	0.004883	0.448073
-18.673920	-0.153942	1.040947	0.004848	0.448303
-18.437121	-0.163963	1.050944	0.004799	0.448604
-18.248084	-0.157256	1.060941	0.004759	0.448895
-18.081564	-0.141821	1.070938	0.004724	0.449183
-17.900335	-0.128593	1.080934	0.004685	0.449485
-17.694585	-0.116694	1.090931	0.004642	0.449816
-17.459191	-0.128394	1.100928	0.004592	0.450108
-17.142315	-0.190463	1.110925	0.004525	0.450342
-17.107659	-0.122622	1.120922	0.004518	0.450624
-16.837932	-0.170024	1.130918	0.004461	0.450842
-16.693897	-0.139170	1.140915	0.004431	0.451150
-16.490542	-0.119137	1.150912	0.004388	0.451505
-16.251457	-0.142015	1.160909	0.004338	0.451763
-16.055130	-0.133987	1.170906	0.004296	0.452066
-15.920258	-0.090990	1.180902	0.004268	0.452402
-15.571863	-0.164128	1.190899	0.004194	0.452641
-15.460677	-0.146574	1.200896	0.004171	0.452857
-15.281770	-0.131732	1.210893	0.004133	0.453159
-15.059196	-0.126084	1.220890	0.004086	0.453489
-14.812739	-0.147005	1.230886	0.004034	0.453763
-14.691041	-0.117857	1.240883	0.004008	0.454033
-14.464341	-0.124746	1.250880	0.003961	0.454326
-14.315888	-0.080054	1.260877	0.003929	0.454685
-14.059774	-0.090738	1.270874	0.003875	0.455006
-13.869556	-0.084388	1.280870	0.003835	0.455293
-13.612301	-0.109005	1.290867	0.003781	0.455568
-13.435220	-0.102271	1.300864	0.003744	0.455838
-13.215636	-0.111923	1.310861	0.003697	0.456111
-13.025887	-0.107324	1.320858	0.003657	0.456391
-12.875908	-0.080543	1.330854	0.003626	0.456690
-12.652529	-0.082427	1.340851	0.003578	0.456994
-12.393433	-0.098797	1.350848	0.003524	0.457298
-12.251932	-0.087193	1.360845	0.003494	0.457534
-12.109763	-0.052974	1.370842	0.003464	0.457847
-11.902947	-0.041351	1.380838	0.003420	0.458172
-11.682300	-0.023055	1.390835	0.003374	0.458539
-11.412297	-0.054775	1.400832	0.003317	0.458806
-11.346496	0.015936	1.410829	0.003303	0.459135
-11.116686	0.028766	1.420826	0.003254	0.459496
-10.839222	0.015889	1.430822	0.003196	0.459836
-10.603244	0.002938	1.440819	0.003146	0.460118
-10.383345	-0.007264	1.450816	0.003100	0.460387
-10.293550	0.043651	1.460813	0.003081	0.460681
