Tue Oct 04 11:41:26 2016

Number of Points = 2704
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.427112	2.361987	0.000000	0.002176	0.474145

0.423389	2.365587	0.005005	0.002177	0.474151
0.565359	2.241556	0.010010	0.002147	0.473936
0.446356	2.261908	0.015014	0.002172	0.473843
0.435347	2.203673	0.020019	0.002175	0.473638
0.393106	2.147301	0.025024	0.002184	0.473397
0.472556	2.041412	0.030029	0.002167	0.473157
0.492075	1.931906	0.035034	0.002163	0.472826
0.429900	1.870328	0.040038	0.002176	0.472541
0.390018	1.777763	0.045043	0.002185	0.472184
0.353892	1.651698	0.050048	0.002193	0.471723
0.352366	1.529436	0.055053	0.002193	0.471321
0.346673	1.384094	0.060058	0.002195	0.470837
0.256084	1.274886	0.065062	0.002214	0.470356
0.156488	1.149970	0.070067	0.002235	0.469812
0.116291	1.016460	0.075072	0.002244	0.469318
0.145028	0.840937	0.080077	0.002238	0.468779
0.097207	0.678831	0.085082	0.002248	0.468181
-0.016741	0.544087	0.090086	0.002272	0.467582
-0.113350	0.402052	0.095091	0.002293	0.466981
-0.291525	0.290714	0.100096	0.002330	0.466371
-0.283729	0.114823	0.105101	0.002329	0.465799
-0.350016	-0.045121	0.110106	0.002343	0.465178
-0.561032	-0.141591	0.115110	0.002387	0.464570
-0.773144	-0.222237	0.120115	0.002432	0.464012
-1.052691	-0.267205	0.125120	0.002491	0.463480
-1.434328	-0.223030	0.130125	0.002572	0.463105
-1.529126	-0.291640	0.135130	0.002592	0.462746
-1.932967	-0.206629	0.140134	0.002677	0.462475
-2.027924	-0.211686	0.145139	0.002697	0.462327
-2.263053	-0.193083	0.150144	0.002747	0.462066
-2.336500	-0.231788	0.155149	0.002762	0.461835
-2.397466	-0.232568	0.160154	0.002775	0.461748
-2.608640	-0.235077	0.165158	0.002820	0.461449
-2.642191	-0.238255	0.170163	0.002827	0.461392
-2.992752	-0.171224	0.175168	0.002901	0.461134
-2.944503	-0.192214	0.180173	0.002891	0.461129
-2.923749	-0.262023	0.185178	0.002887	0.460923
-3.204799	-0.182584	0.190182	0.002946	0.460801
-3.098634	-0.252578	0.195187	0.002924	0.460712
-3.375466	-0.205534	0.200192	0.002982	0.460488
-3.335444	-0.267708	0.205197	0.002974	0.460334
-3.599777	-0.207207	0.210202	0.003030	0.460172
-3.605984	-0.225008	0.215206	0.003031	0.460103
-3.894768	-0.174581	0.220211	0.003092	0.459873
-3.791098	-0.216719	0.225216	0.003070	0.459874
-3.874961	-0.239907	0.230221	0.003088	0.459680
-4.167618	-0.160834	0.235226	0.003150	0.459541
