Tue Oct 04 12:12:04 2016

Number of Points = 2706
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.024882	2.189113	0.000000	0.000967	0.481210

0.188653	2.094746	0.005005	0.000922	0.481189
0.076296	2.105579	0.010010	0.000946	0.481076
0.131694	2.015393	0.015014	0.000934	0.480860
0.017150	1.971580	0.020019	0.000958	0.480569
0.000269	1.908876	0.025024	0.000962	0.480346
0.019434	1.816092	0.030029	0.000958	0.480073
0.070065	1.693641	0.035034	0.000947	0.479747
0.049438	1.577215	0.040038	0.000952	0.479346
-0.147970	1.526214	0.045043	0.000993	0.478921
-0.106535	1.385531	0.050048	0.000984	0.478523
-0.203194	1.299407	0.055053	0.001005	0.478118
-0.140395	1.120640	0.060058	0.000992	0.477625
-0.237536	1.025717	0.065062	0.001012	0.477190
-0.188925	0.830537	0.070067	0.001002	0.476624
-0.342196	0.714123	0.075072	0.001034	0.476044
-0.395294	0.570112	0.080077	0.001045	0.475507
-0.458747	0.425670	0.085082	0.001059	0.474954
-0.598858	0.308482	0.090086	0.001088	0.474387
-0.744817	0.182063	0.095091	0.001119	0.473781
-0.908445	0.094936	0.100096	0.001153	0.473279
-1.427099	0.166584	0.105101	0.001262	0.472819
-1.577797	0.141138	0.110106	0.001294	0.472534
-1.717370	0.111151	0.115110	0.001323	0.472249
-1.795353	0.058523	0.120115	0.001340	0.471973
-2.198229	0.140850	0.125120	0.001424	0.471701
-2.417694	0.162713	0.130125	0.001471	0.471478
-2.417379	0.107037	0.135130	0.001471	0.471297
-2.550812	0.126858	0.140134	0.001499	0.471183
-2.650069	0.097175	0.145139	0.001519	0.470952
-2.848802	0.147662	0.150144	0.001561	0.470851
-3.008938	0.179225	0.155149	0.001595	0.470739
-3.102418	0.158188	0.160154	0.001615	0.470544
-2.963873	0.085569	0.165158	0.001585	0.470493
-3.288291	0.137910	0.170163	0.001654	0.470228
-3.197423	0.087876	0.175168	0.001634	0.470186
-3.396467	0.087019	0.180173	0.001676	0.469915
-3.458087	0.088508	0.185178	0.001689	0.469837
-3.800172	0.150303	0.190182	0.001761	0.469579
-3.775443	0.140428	0.195187	0.001756	0.469580
-3.905764	0.182285	0.200192	0.001783	0.469542
-4.039150	0.152908	0.205197	0.001811	0.469266
-3.929897	0.109713	0.210202	0.001788	0.469272
-4.168720	0.120491	0.215206	0.001839	0.468985
-4.132947	0.096353	0.220211	0.001831	0.468954
-4.300914	0.088100	0.225216	0.001866	0.468700
-4.439408	0.130785	0.230221	0.001896	0.468654
-4.609667	0.166469	0.235226	0.001931	0.468541
-4.922109	0.229531	0.240230	0.001997	0.468326
-4.769301	0.166079	0.245235	0.001965	0.468324
-4.667191	0.078088	0.250240	0.001943	0.468173
-4.987888	0.161896	0.255245	0.002011	0.468015
-5.074221	0.154584	0.260250	0.002029	0.467874
-5.172997	0.143514	0.265254	0.002050	0.467704
-5.062685	0.070697	0.270259	0.002027	0.467614
-5.454668	0.170011	0.275264	0.002109	0.467410
-5.526789	0.200277	0.280269	0.002124	0.467413
-5.628613	0.184784	0.285274	0.002146	0.467224
-5.542782	0.103991	0.290278	0.002128	0.467074
-5.763710	0.182781	0.295283	0.002174	0.467034
-5.917159	0.161794	0.300288	0.002206	0.466757
-6.083008	0.228507	0.305293	0.002241	0.466752
-6.095762	0.220378	0.310298	0.002244	0.466708
-6.230885	0.192454	0.315302	0.002272	0.466433
-5.992979	0.066113	0.320307	0.002222	0.466339
-6.297897	0.132122	0.325312	0.002286	0.466143
-6.324788	0.121286	0.330317	0.002292	0.466071
-6.726827	0.208109	0.335322	0.002376	0.465812
-6.700562	0.198013	0.340326	0.002371	0.465814
-6.806691	0.165518	0.345331	0.002393	0.465562
-6.884832	0.177944	0.350336	0.002410	0.465497
-6.875803	0.147974	0.355341	0.002408	0.465410
-7.078544	0.163717	0.360346	0.002450	0.465187
-7.133517	0.173473	0.365350	0.002462	0.465144
-7.415110	0.210609	0.370355	0.002521	0.464884
-7.304151	0.164833	0.375360	0.002498	0.464884
-7.323619	0.121703	0.380365	0.002502	0.464714
-7.708457	0.229522	0.385370	0.002583	0.464548
-7.592221	0.171815	0.390374	0.002558	0.464515
-7.809154	0.176041	0.395379	0.002604	0.464233
-7.994541	0.251297	0.400384	0.002643	0.464230
-7.883395	0.151102	0.405389	0.002620	0.464049
-8.031515	0.168508	0.410394	0.002651	0.463905
-8.113144	0.160301	0.415398	0.002668	0.463766
-8.404874	0.231582	0.420403	0.002729	0.463605
-8.306786	0.192432	0.425408	0.002709	0.463609
-8.502209	0.178452	0.430413	0.002750	0.463296
-8.357978	0.109445	0.435418	0.002719	0.463263
-8.745774	0.182085	0.440422	0.002801	0.462975
-8.586100	0.108241	0.445427	0.002767	0.462948
-9.015901	0.198562	0.450432	0.002858	0.462661
-8.852228	0.131175	0.455437	0.002823	0.462660
-9.084352	0.168131	0.460442	0.002872	0.462466
-9.196824	0.196096	0.465446	0.002896	0.462405
-9.150980	0.150005	0.470451	0.002886	0.462314
-9.576584	0.252445	0.475456	0.002975	0.462073
-9.453876	0.200718	0.480461	0.002950	0.462069
-9.545285	0.185669	0.485466	0.002969	0.461893
-9.744605	0.225661	0.490470	0.003011	0.461754
-9.894314	0.286032	0.495475	0.003042	0.461750
-9.775254	0.157157	0.500480	0.003017	0.461483
-9.929945	0.205463	0.505485	0.003050	0.461432
-10.142839	0.213693	0.510490	0.003094	0.461168
-9.981463	0.138923	0.515494	0.003061	0.461139
