Tue Oct 04 11:06:59 2016

Number of Points = 2704
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.857844	2.353530	0.000000	0.002556	0.471703

0.769566	2.423480	0.005005	0.002575	0.471812
0.775619	2.420506	0.010010	0.002574	0.471809
0.803146	2.409499	0.015014	0.002568	0.471809
0.861318	2.369908	0.020019	0.002556	0.471757
0.813946	2.306386	0.025024	0.002567	0.471484
0.839309	2.244452	0.030029	0.002561	0.471315
0.828202	2.161854	0.035034	0.002564	0.471029
0.782606	2.099090	0.040038	0.002574	0.470761
0.795284	1.994375	0.045043	0.002571	0.470434
0.793013	1.881694	0.050048	0.002572	0.470060
0.791971	1.761951	0.055053	0.002572	0.469665
0.642729	1.681376	0.060058	0.002604	0.469198
0.712458	1.529208	0.065062	0.002589	0.468791
0.762923	1.347341	0.070067	0.002579	0.468260
0.732520	1.197267	0.075072	0.002586	0.467723
0.588953	1.090947	0.080077	0.002616	0.467177
0.628567	0.890428	0.085082	0.002608	0.466568
0.560092	0.733730	0.090086	0.002623	0.465955
0.499554	0.562480	0.095091	0.002636	0.465305
0.490556	0.366942	0.100096	0.002638	0.464644
0.474777	0.161892	0.105101	0.002641	0.463940
0.456273	-0.045330	0.110106	0.002645	0.463225
0.246250	-0.173745	0.115110	0.002690	0.462509
0.258617	-0.391336	0.120115	0.002687	0.461799
0.090183	-0.541847	0.125120	0.002723	0.461064
-0.015515	-0.723959	0.130125	0.002745	0.460308
-0.388200	-0.770867	0.135130	0.002824	0.459637
-1.006533	-0.678381	0.140134	0.002954	0.459093
-1.284277	-0.665786	0.145139	0.003013	0.458751
-1.408722	-0.700952	0.150144	0.003039	0.458460
-1.715544	-0.660340	0.155149	0.003104	0.458172
-1.911475	-0.633698	0.160154	0.003145	0.457989
-2.106486	-0.636456	0.165158	0.003187	0.457709
-2.046852	-0.688896	0.170163	0.003174	0.457614
-2.224824	-0.681170	0.175168	0.003212	0.457392
-2.362834	-0.684519	0.180173	0.003241	0.457189
-2.573936	-0.634711	0.185178	0.003286	0.457063
-2.588214	-0.646131	0.190182	0.003289	0.457003
-2.850253	-0.614795	0.195187	0.003344	0.456745
-2.707940	-0.672470	0.200192	0.003314	0.456746
-2.894440	-0.686205	0.205197	0.003354	0.456440
-2.959179	-0.687034	0.210202	0.003368	0.456346
-3.160909	-0.670678	0.215206	0.003410	0.456120
-3.045781	-0.733074	0.220211	0.003386	0.456068
-3.225253	-0.740917	0.225216	0.003424	0.455791
-3.464297	-0.669024	0.230221	0.003475	0.455701
-3.668724	-0.650045	0.235226	0.003518	0.455480
-3.577551	-0.686144	0.240230	0.003499	0.455483
-3.779399	-0.682600	0.245235	0.003541	0.455213
-3.758546	-0.703889	0.250240	0.003537	0.455169
-4.001201	-0.671336	0.255245	0.003588	0.454940
-4.101628	-0.652860	0.260250	0.003610	0.454862
-4.073646	-0.679947	0.265254	0.003604	0.454808
-4.263698	-0.682855	0.270259	0.003644	0.454532
-4.252280	-0.696094	0.275264	0.003642	0.454502
-4.530207	-0.667163	0.280269	0.003701	0.454211
-4.506643	-0.677371	0.285274	0.003696	0.454208
-4.635900	-0.700245	0.290278	0.003723	0.453949
-4.828723	-0.638132	0.295283	0.003764	0.453890
-4.883987	-0.659160	0.300288	0.003776	0.453740
-5.079276	-0.621763	0.305293	0.003817	0.453594
-4.973035	-0.664656	0.310298	0.003795	0.453595
-5.151839	-0.671588	0.315302	0.003833	0.453320
-5.166026	-0.681098	0.320307	0.003836	0.453267
-5.461409	-0.621532	0.325312	0.003898	0.453056
-5.540273	-0.617140	0.330317	0.003915	0.452959
-5.492260	-0.636578	0.335322	0.003905	0.452959
-5.631438	-0.671034	0.340326	0.003934	0.452646
-5.489779	-0.749945	0.345331	0.003905	0.452574
-5.944872	-0.611209	0.350336	0.004001	0.452408
-5.898143	-0.639190	0.355341	0.003991	0.452377
-5.988705	-0.691513	0.360346	0.004010	0.452071
-6.007444	-0.726971	0.365350	0.004014	0.451923
-6.376818	-0.626154	0.370355	0.004092	0.451748
-6.550375	-0.554224	0.375360	0.004129	0.451748
-6.432230	-0.656885	0.380365	0.004104	0.451563
-6.452954	-0.687067	0.385370	0.004109	0.451429
-6.652642	-0.649899	0.390374	0.004151	0.451275
-6.965313	-0.565808	0.395379	0.004217	0.451122
-6.754992	-0.651099	0.400384	0.004173	0.451125
-6.972948	-0.646597	0.405389	0.004219	0.450833
-7.103917	-0.602963	0.410394	0.004247	0.450797
-7.198789	-0.611176	0.415398	0.004267	0.450634
