Tue Oct 04 11:33:06 2016

Number of Points = 2707
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.274694	2.215451	0.000000	0.001645	0.477035

0.279792	2.236816	0.005005	0.001644	0.477110
0.302479	2.129796	0.010010	0.001639	0.476794
0.272751	2.098882	0.015014	0.001645	0.476654
0.253436	2.027629	0.020019	0.001649	0.476397
0.153893	1.992313	0.025024	0.001670	0.476150
0.094571	1.920405	0.030029	0.001683	0.475838
0.135921	1.807521	0.035034	0.001674	0.475527
0.049158	1.733497	0.040038	0.001693	0.475171
0.029056	1.633738	0.045043	0.001697	0.474820
0.069439	1.489354	0.050048	0.001689	0.474404
0.058398	1.354346	0.055053	0.001691	0.473950
0.062811	1.208748	0.060058	0.001690	0.473482
0.022686	1.053500	0.065062	0.001699	0.472922
-0.059034	0.941932	0.070067	0.001716	0.472449
-0.139106	0.808012	0.075072	0.001733	0.471904
-0.112459	0.613808	0.080077	0.001728	0.471304
-0.203697	0.463351	0.085082	0.001747	0.470689
-0.262323	0.294959	0.090086	0.001759	0.470058
-0.409766	0.164513	0.095091	0.001791	0.469431
-0.522611	0.024692	0.100096	0.001814	0.468818
-0.483250	-0.184133	0.105101	0.001806	0.468184
-0.606108	-0.336262	0.110106	0.001832	0.467516
-0.994019	-0.361030	0.115110	0.001914	0.466908
-1.276319	-0.407675	0.120115	0.001973	0.466371
-1.745327	-0.323260	0.125120	0.002072	0.466012
-1.969406	-0.311292	0.130125	0.002119	0.465747
-1.996117	-0.389083	0.135130	0.002125	0.465453
-2.181653	-0.399389	0.140134	0.002164	0.465166
-2.433234	-0.380154	0.145139	0.002217	0.464886
-2.549978	-0.375115	0.150144	0.002242	0.464743
-2.723255	-0.360836	0.155149	0.002278	0.464554
-2.964971	-0.329398	0.160154	0.002329	0.464328
-2.929281	-0.371651	0.165158	0.002322	0.464236
-3.030623	-0.339511	0.170163	0.002343	0.464204
-3.126792	-0.387436	0.175168	0.002364	0.463913
-3.089471	-0.434679	0.180173	0.002356	0.463807
-3.358691	-0.380608	0.185178	0.002413	0.463618
-3.464488	-0.388972	0.190182	0.002435	0.463446
-3.673514	-0.350400	0.195187	0.002479	0.463288
-3.708927	-0.335837	0.200192	0.002486	0.463287
-3.795235	-0.364916	0.205197	0.002505	0.463072
-3.813923	-0.384811	0.210202	0.002509	0.462980
-4.025532	-0.351246	0.215206	0.002553	0.462802
-4.201756	-0.318949	0.220211	0.002590	0.462667
-4.134403	-0.346911	0.225216	0.002576	0.462666
-4.408957	-0.306548	0.230221	0.002634	0.462424
-4.315350	-0.349077	0.235226	0.002615	0.462410
-4.419442	-0.370035	0.240230	0.002637	0.462197
-4.602796	-0.331479	0.245235	0.002675	0.462074
-4.678979	-0.322381	0.250240	0.002691	0.461999
-4.921199	-0.296891	0.255245	0.002742	0.461752
-4.924008	-0.295289	0.260250	0.002743	0.461753
-4.880544	-0.368960	0.265254	0.002734	0.461566
-5.129821	-0.306481	0.270259	0.002787	0.461432
-5.128965	-0.340847	0.275264	0.002786	0.461318
-5.221411	-0.357692	0.280269	0.002806	0.461134
-5.415722	-0.331904	0.285274	0.002847	0.460953
-5.571233	-0.312748	0.290278	0.002880	0.460803
-5.521794	-0.335974	0.295283	0.002869	0.460793
-5.664582	-0.366343	0.300288	0.002900	0.460494
-5.870306	-0.282119	0.305293	0.002943	0.460493
-5.875718	-0.320986	0.310298	0.002944	0.460355
-6.067990	-0.294182	0.315302	0.002985	0.460179
-6.041467	-0.326140	0.320307	0.002979	0.460108
-6.361082	-0.263814	0.325312	0.003046	0.459876
-6.247369	-0.311253	0.330317	0.003023	0.459874
-6.227951	-0.384417	0.335322	0.003019	0.459654
-6.484071	-0.312765	0.340326	0.003073	0.459541
-6.640846	-0.329398	0.345331	0.003106	0.459269
-6.608838	-0.355231	0.350336	0.003099	0.459226
-6.738516	-0.355840	0.355341	0.003126	0.459044
-6.919625	-0.322805	0.360346	0.003165	0.458905
-6.959720	-0.340866	0.365350	0.003173	0.458788
-7.123573	-0.326243	0.370355	0.003208	0.458611
-7.066511	-0.381763	0.375360	0.003196	0.458502
-7.345871	-0.331564	0.380365	0.003255	0.458285
-7.316902	-0.373419	0.385370	0.003249	0.458184
-7.475777	-0.369606	0.390374	0.003282	0.457976
-7.490239	-0.384390	0.395379	0.003285	0.457906
-7.791169	-0.331743	0.400384	0.003349	0.457666
-7.833904	-0.313009	0.405389	0.003358	0.457670
-8.038725	-0.293120	0.410394	0.003401	0.457453
-8.131046	-0.272566	0.415398	0.003420	0.457394
-8.177828	-0.253513	0.420403	0.003430	0.457393
-8.129990	-0.321562	0.425408	0.003420	0.457229
-8.246594	-0.323033	0.430413	0.003445	0.457062
-8.348933	-0.350370	0.435418	0.003466	0.456827
-8.446888	-0.335965	0.440422	0.003487	0.456740
-8.510197	-0.360853	0.445427	0.003501	0.456567
-8.679695	-0.334706	0.450432	0.003536	0.456420
-8.620709	-0.411009	0.455437	0.003524	0.456243
-8.935394	-0.317714	0.460442	0.003590	0.456121
-9.148786	-0.304826	0.465446	0.003635	0.455868
-9.166140	-0.319260	0.470451	0.003639	0.455794
