Tue Oct 04 11:12:18 2016

Number of Points = 2706
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.322120	2.109467	0.000000	0.000885	0.481461

0.332818	2.119432	0.005005	0.000883	0.481507
0.244743	2.154989	0.010010	0.000902	0.481505
0.270987	2.069106	0.015014	0.000896	0.481265
0.127214	2.107808	0.020019	0.000926	0.481200
0.263451	2.008847	0.025024	0.000898	0.481062
0.196223	1.974015	0.030029	0.000912	0.480862
0.198919	1.880073	0.035034	0.000911	0.480564
0.139631	1.826716	0.040038	0.000924	0.480315
0.164021	1.728431	0.045043	0.000919	0.480032
0.174156	1.615945	0.050048	0.000916	0.479684
0.131897	1.502857	0.055053	0.000925	0.479265
0.062445	1.404010	0.060058	0.000940	0.478856
0.050727	1.289738	0.065062	0.000942	0.478472
-0.018038	1.161004	0.070067	0.000957	0.477967
-0.011143	1.023877	0.075072	0.000956	0.477534
0.009277	0.841762	0.080077	0.000951	0.476973
-0.136306	0.731897	0.085082	0.000982	0.476424
-0.182090	0.582116	0.090086	0.000992	0.475879
-0.306870	0.465385	0.095091	0.001018	0.475335
-0.416837	0.336090	0.100096	0.001041	0.474769
-0.321026	0.114685	0.105101	0.001021	0.474178
-0.439802	-0.025738	0.110106	0.001046	0.473563
-0.561196	-0.171283	0.115110	0.001071	0.472926
-0.818922	-0.226781	0.120115	0.001126	0.472400
-1.182989	-0.227086	0.125120	0.001202	0.471912
-1.567652	-0.194285	0.130125	0.001283	0.471503
-1.793758	-0.195734	0.135130	0.001331	0.471194
-1.933338	-0.221395	0.140134	0.001360	0.470923
-2.109711	-0.209270	0.145139	0.001397	0.470726
-2.281642	-0.193152	0.150144	0.001433	0.470547
-2.409852	-0.234217	0.155149	0.001460	0.470240
-2.433091	-0.265065	0.160154	0.001465	0.470108
-2.848910	-0.148807	0.165158	0.001553	0.469929
-2.749051	-0.206327	0.170163	0.001532	0.469875
-2.964391	-0.204745	0.175168	0.001577	0.469590
