Tue Oct 04 12:01:24 2016

Number of Points = 2703
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.577420	2.395220	0.000000	0.002779	0.470418

0.551830	2.446042	0.005005	0.002784	0.470548
0.545004	2.448080	0.010010	0.002786	0.470544
0.594640	2.378692	0.015014	0.002776	0.470382
0.559546	2.347068	0.020019	0.002783	0.470230
0.480722	2.315927	0.025024	0.002800	0.470020
0.494589	2.247429	0.030029	0.002798	0.469813
0.555518	2.136631	0.035034	0.002785	0.469530
0.553780	2.038583	0.040038	0.002786	0.469204
0.418990	1.988304	0.045043	0.002814	0.468856
0.522235	1.838197	0.050048	0.002793	0.468500
0.435969	1.753649	0.055053	0.002811	0.468104
0.415784	1.613353	0.060058	0.002816	0.467613
0.314262	1.535277	0.065062	0.002837	0.467216
0.398963	1.334262	0.070067	0.002820	0.466666
0.230680	1.253413	0.075072	0.002855	0.466169
0.167240	1.120163	0.080077	0.002869	0.465641
0.041721	1.015318	0.085082	0.002895	0.465121
0.151600	0.808364	0.090086	0.002873	0.464583
0.199690	0.597518	0.095091	0.002863	0.463948
-0.028120	0.506127	0.100096	0.002911	0.463331
0.044598	0.292451	0.105101	0.002896	0.462718
-0.136330	0.171494	0.110106	0.002934	0.462065
-0.298223	0.048041	0.115110	0.002969	0.461430
-0.341370	-0.128685	0.120115	0.002978	0.460778
-0.598908	-0.208568	0.125120	0.003032	0.460155
-1.141798	-0.123138	0.130125	0.003147	0.459693
-1.549505	-0.065678	0.135130	0.003233	0.459322
-1.566869	-0.139814	0.140134	0.003237	0.459048
-1.828332	-0.111121	0.145139	0.003292	0.458782
-2.008847	-0.085687	0.150144	0.003330	0.458617
-2.208863	-0.095128	0.155149	0.003372	0.458307
-2.230496	-0.129482	0.160154	0.003377	0.458160
-2.473175	-0.080560	0.165158	0.003428	0.457988
-2.510044	-0.070621	0.170163	0.003436	0.457969
-2.719875	-0.071331	0.175168	0.003481	0.457675
-2.516325	-0.181154	0.180173	0.003438	0.457585
