Tue Oct 04 11:55:26 2016

Number of Points = 2705
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.365369	2.059205	0.000000	0.000662	0.482698

0.366814	2.052766	0.005005	0.000661	0.482680
0.381608	1.981765	0.010010	0.000658	0.482473
0.320116	2.006919	0.015014	0.000671	0.482473
0.292866	1.917808	0.020019	0.000677	0.482153
0.302181	1.860419	0.025024	0.000675	0.481982
0.258481	1.811852	0.030029	0.000684	0.481770
0.291263	1.710572	0.035034	0.000677	0.481489
0.239153	1.633315	0.040038	0.000688	0.481174
0.272127	1.497663	0.045043	0.000681	0.480783
0.091639	1.450634	0.050048	0.000719	0.480395
0.049001	1.369821	0.055053	0.000728	0.480079
0.060820	1.251762	0.060058	0.000725	0.479716
0.125369	1.057753	0.065062	0.000712	0.479178
-0.074081	1.010964	0.070067	0.000754	0.478764
0.034928	0.801424	0.075072	0.000731	0.478234
0.019957	0.649147	0.080077	0.000734	0.477724
-0.113338	0.538521	0.085082	0.000762	0.477190
-0.279782	0.430470	0.090086	0.000797	0.476621
-0.319966	0.274194	0.095091	0.000805	0.476062
-0.269581	0.077945	0.100096	0.000795	0.475494
-0.447028	-0.040411	0.105101	0.000832	0.474874
-0.862081	-0.029734	0.110106	0.000919	0.474355
-1.222327	-0.018555	0.115110	0.000995	0.473911
-1.409554	-0.031184	0.120115	0.001034	0.473620
-1.755897	0.018257	0.125120	0.001107	0.473319
-1.765933	-0.054021	0.130125	0.001109	0.473070
-2.000431	-0.007890	0.135130	0.001158	0.472907
-2.305512	0.051652	0.140134	0.001223	0.472693
-2.240439	-0.009363	0.145139	0.001209	0.472581
-2.426471	0.029271	0.150144	0.001248	0.472458
-2.412723	-0.011685	0.155149	0.001245	0.472344
-2.634218	0.011044	0.160154	0.001291	0.472121
-2.750311	0.017687	0.165158	0.001316	0.471988
-3.027513	0.076591	0.170163	0.001374	0.471808
-2.864324	0.009013	0.175168	0.001340	0.471807
-2.834010	-0.075104	0.180173	0.001333	0.471573
-3.059711	-0.015245	0.185178	0.001381	0.471466
-3.487195	0.072899	0.190182	0.001471	0.471180
-3.253711	-0.022588	0.195187	0.001421	0.471182
-3.396491	-0.012152	0.200192	0.001451	0.471025
-3.644445	0.037343	0.205197	0.001504	0.470854
-3.528594	-0.036733	0.210202	0.001479	0.470767
-3.931743	0.061446	0.215206	0.001564	0.470547
-3.900526	0.048831	0.220211	0.001557	0.470548
-3.846954	-0.017561	0.225216	0.001546	0.470403
-3.874490	-0.058208	0.230221	0.001552	0.470233
-4.205690	0.000948	0.235226	0.001621	0.469981
-4.268478	0.011312	0.240230	0.001635	0.469931
-4.251786	-0.047593	0.245235	0.001631	0.469761
-4.474700	-0.005351	0.250240	0.001678	0.469599
-4.449753	-0.068894	0.255245	0.001673	0.469425
-4.729500	0.002982	0.260250	0.001731	0.469284
-4.691294	-0.014621	0.265254	0.001723	0.469278
-4.934280	-0.012303	0.270259	0.001774	0.468958
-4.891778	-0.030184	0.275264	0.001765	0.468957
-5.137108	-0.004738	0.280269	0.001817	0.468709
-5.127933	-0.023681	0.285274	0.001815	0.468660
-5.269579	0.013426	0.290278	0.001845	0.468591
-5.533302	0.041650	0.295283	0.001900	0.468327
-5.396259	-0.014654	0.300288	0.001871	0.468328
-5.446212	-0.040300	0.305293	0.001882	0.468176
-5.720581	0.025964	0.310298	0.001939	0.468024
-5.845888	0.024492	0.315302	0.001966	0.467850
-5.859068	-0.012364	0.320307	0.001968	0.467711
-5.842805	-0.027708	0.325312	0.001965	0.467682
-6.129182	0.011424	0.330317	0.002025	0.467424
-6.133409	0.011308	0.335322	0.002026	0.467418
-6.159711	-0.053210	0.340326	0.002031	0.467170
-6.332004	-0.010481	0.345331	0.002068	0.467078
-6.624942	0.032277	0.350336	0.002129	0.466822
-6.460594	-0.053401	0.355341	0.002095	0.466763
-6.594649	-0.044022	0.360346	0.002123	0.466612
-6.992650	0.068691	0.365350	0.002206	0.466444
-6.771068	-0.022179	0.370355	0.002160	0.466445
-6.898478	-0.046442	0.375360	0.002186	0.466193
-6.948578	-0.038710	0.380365	0.002197	0.466150
-7.225388	-0.024137	0.385370	0.002255	0.465823
-7.233258	-0.023941	0.390374	0.002257	0.465813
-7.327150	-0.021558	0.395379	0.002276	0.465694
-7.497055	-0.009380	0.400384	0.002312	0.465503
-7.480956	-0.081545	0.405389	0.002309	0.465287
-7.644667	-0.045077	0.410394	0.002343	0.465185
-7.854912	0.036414	0.415398	0.002387	0.465169
-8.084516	0.046096	0.420403	0.002436	0.464889
-7.895871	-0.032424	0.425408	0.002396	0.464886
-7.922268	-0.070347	0.430413	0.002401	0.464724
-8.091868	-0.051514	0.435418	0.002437	0.464556
-8.390161	-0.004083	0.440422	0.002500	0.464307
-8.349418	-0.041413	0.445427	0.002491	0.464239
-8.357664	-0.081671	0.450432	0.002493	0.464095
-8.617444	-0.027786	0.455437	0.002547	0.463919
-8.643286	-0.030708	0.460442	0.002553	0.463875
-9.010677	0.041690	0.465446	0.002630	0.463614
-8.804633	-0.041794	0.470451	0.002587	0.463618
-8.964471	-0.011991	0.475456	0.002620	0.463499
-9.111336	-0.014540	0.480461	0.002651	0.463290
-9.051829	-0.053305	0.485466	0.002638	0.463243
-9.415848	0.017711	0.490470	0.002715	0.462982
-9.496129	0.049562	0.495475	0.002732	0.462979
-9.437758	0.005400	0.500480	0.002719	0.462912
-9.601270	-0.000350	0.505485	0.002754	0.462669
-9.485069	-0.088403	0.510490	0.002729	0.462535
-9.878248	0.034378	0.515494	0.002812	0.462407
-9.967451	0.070657	0.520499	0.002831	0.462406
-9.910574	-0.021299	0.525504	0.002819	0.462177
-9.928318	-0.046041	0.530509	0.002822	0.462071
-10.347294	0.036533	0.535514	0.002910	0.461772
-10.335350	0.025492	0.540518	0.002908	0.461752
-10.435004	0.067491	0.545523	0.002929	0.461756
-10.552914	0.032499	0.550528	0.002954	0.461478
-10.500331	-0.002899	0.555533	0.002942	0.461432
-10.639298	0.006214	0.560538	0.002972	0.461272
-10.852610	0.051446	0.565542	0.003016	0.461131
-10.826541	0.000418	0.570547	0.003011	0.460996
-10.996655	0.010333	0.575552	0.003047	0.460796
-10.898428	-0.059803	0.580557	0.003026	0.460697
-11.233501	0.014954	0.585562	0.003096	0.460487
-11.263990	0.001592	0.590566	0.003103	0.460400
-11.650023	0.094193	0.595571	0.003184	0.460180
-11.434512	0.005372	0.600576	0.003139	0.460179
-11.370719	-0.062935	0.605581	0.003125	0.460038
-11.602323	-0.016185	0.610586	0.003174	0.459876
-12.071082	0.096891	0.615590	0.003272	0.459610
-11.876432	0.005853	0.620595	0.003231	0.459573
-11.945828	0.026306	0.625600	0.003246	0.459547
-12.004366	-0.029560	0.630605	0.003258	0.459279
-12.162121	0.019505	0.635610	0.003291	0.459226
-12.516789	0.101135	0.640614	0.003366	0.459012
-12.507267	0.066154	0.645619	0.003364	0.458908
-12.450756	0.042800	0.650624	0.003352	0.458907
-12.460117	-0.013859	0.655629	0.003354	0.458704
-12.543027	-0.012397	0.660634	0.003371	0.458595
-13.043751	0.101751	0.665638	0.003476	0.458288
-13.035883	0.099821	0.670643	0.003475	0.458292
-12.819132	0.006253	0.675648	0.003429	0.458278
-13.111297	0.039760	0.680653	0.003491	0.457987
-13.148679	0.055402	0.685658	0.003498	0.457988
-13.373042	0.058499	0.690662	0.003545	0.457688
-13.205779	-0.014545	0.695667	0.003510	0.457674
-13.559607	0.052115	0.700672	0.003585	0.457409
-13.583514	0.056973	0.705677	0.003590	0.457393
-13.781873	0.128393	0.710682	0.003631	0.457359
-14.015171	0.134059	0.715686	0.003680	0.457056
-13.651460	-0.023400	0.720691	0.003604	0.457029
-14.020289	0.041049	0.725696	0.003681	0.456735
-14.072283	0.062312	0.730701	0.003692	0.456735
-14.379692	0.111682	0.735706	0.003757	0.456476
-14.420403	0.110767	0.740710	0.003765	0.456417
-14.320079	0.069352	0.745715	0.003744	0.456416
-14.425636	0.041531	0.750720	0.003766	0.456176
-14.448384	0.024390	0.755725	0.003771	0.456087
-14.851972	0.099889	0.760730	0.003856	0.455782
-14.779715	0.069429	0.765734	0.003841	0.455780
-14.739867	0.004789	0.770739	0.003832	0.455617
-14.996392	0.067040	0.775744	0.003886	0.455471
-15.131665	0.052950	0.780749	0.003915	0.455236
-15.112907	0.021609	0.785754	0.003911	0.455156
-15.403621	0.087022	0.790758	0.003972	0.454973
-15.479022	0.082558	0.795763	0.003987	0.454853
-15.326949	0.004184	0.800768	0.003955	0.454800
-15.806912	0.117528	0.805773	0.004056	0.454516
-15.698096	0.072841	0.810778	0.004033	0.454516
-15.777615	0.071003	0.815782	0.004050	0.454400
-15.958311	0.088104	0.820787	0.004088	0.454206
-15.957338	0.037248	0.825792	0.004088	0.454035
-16.132757	0.064108	0.830797	0.004125	0.453882
-16.283929	0.127010	0.835802	0.004156	0.453885
-16.258134	0.058306	0.840806	0.004151	0.453688
-16.339143	0.060520	0.845811	0.004168	0.453583
-16.584041	0.098965	0.850816	0.004219	0.453372
-16.704827	0.115789	0.855821	0.004245	0.453260
-16.758436	0.137843	0.860826	0.004256	0.453261
-16.809383	0.097394	0.865830	0.004267	0.453052
-16.762816	0.049396	0.870835	0.004257	0.452954
-17.164888	0.139723	0.875840	0.004341	0.452700
-17.122214	0.104909	0.880845	0.004332	0.452641
-17.118764	0.089984	0.885850	0.004332	0.452596
-17.331563	0.119420	0.890854	0.004376	0.452398
-17.332968	0.098069	0.895859	0.004377	0.452324
-17.662055	0.156098	0.900864	0.004446	0.452061
-17.611258	0.134494	0.905869	0.004435	0.452059
-17.714461	0.118187	0.910874	0.004457	0.451859
-17.926516	0.170226	0.915878	0.004501	0.451740
-17.934024	0.173668	0.920883	0.004503	0.451741
-17.910810	0.082778	0.925888	0.004498	0.451464
-18.009916	0.104203	0.930893	0.004519	0.451398
-18.369744	0.171188	0.935898	0.004594	0.451122
-18.195195	0.098961	0.940902	0.004557	0.451121
-18.274658	0.055762	0.945907	0.004574	0.450862
-18.456642	0.107802	0.950912	0.004612	0.450785
-18.705195	0.122022	0.955917	0.004665	0.450484
-18.592493	0.050112	0.960922	0.004641	0.450397
-18.814888	0.092918	0.965926	0.004688	0.450231
-18.816194	0.074436	0.970931	0.004688	0.450166
-19.105042	0.110189	0.975936	0.004749	0.449883
-19.079555	0.094193	0.980941	0.004743	0.449864
-19.115777	0.045277	0.985946	0.004751	0.449646
-19.327885	0.098003	0.990950	0.004795	0.449528
-19.514420	0.113974	0.995955	0.004834	0.449320
-19.495190	0.075678	1.000960	0.004830	0.449216

-19.535034	0.092465	1.010957	0.004839	0.449218
-19.274625	0.046056	1.020954	0.004784	0.449427
-19.347695	0.137354	1.030950	0.004799	0.449638
-19.105596	0.104194	1.040947	0.004748	0.449866
-18.805955	0.068052	1.050944	0.004685	0.450164
-18.715929	0.079496	1.060941	0.004666	0.450331
-18.510488	0.068997	1.070938	0.004622	0.450585
-18.324653	0.079865	1.080934	0.004583	0.450884
-18.158294	0.099939	1.090931	0.004548	0.451187
-17.963673	0.099625	1.100928	0.004507	0.451459
-17.662944	0.059365	1.110925	0.004444	0.451744
-17.557742	0.101258	1.120922	0.004421	0.452036
-17.287539	0.083144	1.130918	0.004365	0.452353
-17.141462	0.081259	1.140915	0.004334	0.452552
-16.956124	0.092076	1.150912	0.004295	0.452849
-16.698360	0.085193	1.160909	0.004240	0.453186
-16.555695	0.101163	1.170906	0.004210	0.453441
-16.186508	0.030984	1.180902	0.004132	0.453718
-16.245259	0.126181	1.190899	0.004145	0.453960
-15.892600	0.083180	1.200896	0.004070	0.454307
-15.807667	0.127068	1.210893	0.004052	0.454575
-15.516342	0.105419	1.220890	0.003991	0.454908
-15.219033	0.057719	1.230886	0.003928	0.455161
-15.015972	0.052885	1.240883	0.003885	0.455428
-15.018196	0.120504	1.250880	0.003886	0.455654
-14.587850	0.053831	1.260877	0.003795	0.456027
-14.525973	0.077737	1.270874	0.003782	0.456195
-14.245288	0.026091	1.280870	0.003723	0.456410
-14.212097	0.110377	1.290867	0.003716	0.456742
-13.739852	0.007626	1.300864	0.003616	0.457050
-13.849294	0.121719	1.310861	0.003639	0.457284
-13.516079	0.090368	1.320858	0.003569	0.457641
-13.294241	0.082446	1.330854	0.003522	0.457921
-13.149027	0.107360	1.340851	0.003492	0.458207
-12.807719	0.053594	1.350848	0.003420	0.458498
-12.731595	0.103049	1.360845	0.003404	0.458770
-12.528992	0.080769	1.370842	0.003361	0.458976
-12.209258	0.027318	1.380838	0.003293	0.459238
-12.120407	0.081543	1.390835	0.003275	0.459543
-11.877228	0.080780	1.400832	0.003223	0.459876
-11.646071	0.051444	1.410829	0.003175	0.460097
-11.430141	0.039635	1.420826	0.003129	0.460355
-11.346838	0.076710	1.430822	0.003112	0.460594
-11.028087	0.059631	1.440819	0.003044	0.460976
-10.983131	0.111073	1.450816	0.003035	0.461210
-10.630796	0.040393	1.460813	0.002961	0.461458
-10.432628	0.045877	1.470810	0.002919	0.461749
-10.247156	0.051279	1.480806	0.002880	0.462022
-9.982252	-0.004089	1.490803	0.002824	0.462201
-9.899149	0.045071	1.500800	0.002806	0.462480
-9.635611	-0.008062	1.510797	0.002751	0.462664
-9.507956	0.023982	1.520794	0.002724	0.462946
-9.217723	-0.009025	1.530790	0.002663	0.463234
-9.048910	0.002643	1.540787	0.002627	0.463504
-8.837441	-0.009750	1.550784	0.002582	0.463752
-8.696463	-0.011093	1.560781	0.002553	0.463941
-8.418763	-0.024401	1.570778	0.002494	0.464276
-8.203630	-0.061573	1.580774	0.002449	0.464447
-8.161270	0.018239	1.590771	0.002440	0.464770
-7.810281	-0.019452	1.600768	0.002366	0.465124
-7.733759	0.027199	1.610765	0.002349	0.465383
-7.391836	-0.042694	1.620762	0.002277	0.465617
-7.287060	-0.000975	1.630758	0.002255	0.465899
-7.097213	0.005102	1.640755	0.002215	0.466177
-6.948540	0.036531	1.650752	0.002184	0.466484
-6.613203	-0.011373	1.660749	0.002113	0.466781
-6.471252	0.018309	1.670746	0.002083	0.467072
-6.149436	-0.025726	1.680742	0.002015	0.467364
-6.123324	0.019336	1.690739	0.002010	0.467548
-5.794789	-0.004875	1.700736	0.001941	0.467914
-5.754203	0.038841	1.710733	0.001932	0.468113
-5.334250	-0.026886	1.720730	0.001844	0.468465
-5.163629	-0.039986	1.730726	0.001808	0.468654
-5.089516	-0.011979	1.740723	0.001792	0.468846
-4.804033	-0.037676	1.750720	0.001732	0.469148
-4.714855	0.018328	1.760717	0.001713	0.469453
-4.414793	-0.049098	1.770714	0.001650	0.469637
-4.244128	-0.030295	1.780710	0.001614	0.469929
-4.034739	-0.026509	1.790707	0.001569	0.470224
-3.875045	-0.004423	1.800704	0.001536	0.470512
-3.648817	-0.008706	1.810701	0.001488	0.470803
-3.384396	-0.031191	1.820698	0.001432	0.471086
