Tue Oct 04 12:06:44 2016

Number of Points = 2704
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.401033	2.167041	0.000000	0.000865	0.481775

0.458650	2.154900	0.005005	0.000852	0.481812
0.446013	2.158630	0.010010	0.000855	0.481808
0.423801	2.090341	0.015014	0.000860	0.481560
0.400486	2.077311	0.020019	0.000865	0.481488
0.492718	1.960694	0.025024	0.000845	0.481236
0.468319	1.888950	0.030029	0.000850	0.480975
0.382102	1.845451	0.035034	0.000868	0.480722
0.353994	1.755425	0.040038	0.000874	0.480396
0.201994	1.719233	0.045043	0.000906	0.480080
0.226971	1.610431	0.050048	0.000901	0.479764
0.225904	1.496266	0.055053	0.000901	0.479396
0.104232	1.428110	0.060058	0.000927	0.479016
0.176734	1.259448	0.065062	0.000911	0.478570
0.240308	1.095417	0.070067	0.000898	0.478126
0.133718	0.971201	0.075072	0.000921	0.477584
0.062002	0.846529	0.080077	0.000936	0.477087
0.029594	0.693175	0.085082	0.000942	0.476548
-0.040908	0.547376	0.090086	0.000957	0.475983
0.009425	0.337680	0.095091	0.000947	0.475371
-0.100357	0.193381	0.100096	0.000970	0.474757
-0.222051	0.043835	0.105101	0.000995	0.474109
-0.389622	-0.072336	0.110106	0.001031	0.473508
-0.611476	-0.165206	0.115110	0.001077	0.472909
-1.043015	-0.108994	0.120115	0.001168	0.472514
-1.320826	-0.111475	0.125120	0.001226	0.472134
-1.536955	-0.123200	0.130125	0.001272	0.471806
-1.822794	-0.097012	0.135130	0.001332	0.471508
-1.897226	-0.116816	0.140134	0.001348	0.471344
-2.123116	-0.074134	0.145139	0.001395	0.471180
-2.292237	-0.083069	0.150144	0.001431	0.470924
-2.320565	-0.093896	0.155149	0.001437	0.470851
-2.414627	-0.110702	0.160154	0.001456	0.470669
-2.551165	-0.094309	0.165158	0.001485	0.470540
-2.728071	-0.099795	0.170163	0.001522	0.470284
-2.867368	-0.059636	0.175168	0.001551	0.470228
-2.767220	-0.131600	0.180173	0.001530	0.470127
-3.057195	-0.074528	0.185178	0.001591	0.469924
-3.046047	-0.101583	0.190182	0.001589	0.469851
-3.376668	-0.047898	0.195187	0.001658	0.469581
-3.124489	-0.150610	0.200192	0.001605	0.469585
-3.608330	-0.045938	0.205197	0.001707	0.469276
-3.530749	-0.079256	0.210202	0.001691	0.469271
-3.686927	-0.014372	0.215206	0.001724	0.469274
-3.798316	-0.046582	0.220211	0.001747	0.469018
-3.900845	-0.024746	0.225216	0.001769	0.468952
-3.986027	0.011626	0.230221	0.001786	0.468956
-3.894797	-0.096111	0.235226	0.001767	0.468726
-4.013681	-0.072397	0.240230	0.001792	0.468643
-4.487746	0.025168	0.245235	0.001892	0.468324
-4.232331	-0.079625	0.250240	0.001838	0.468325
-4.295345	-0.080537	0.255245	0.001851	0.468237
-4.521810	-0.054301	0.260250	0.001899	0.468017
-4.617105	-0.026446	0.265254	0.001919	0.467980
-4.874991	-0.003739	0.270259	0.001973	0.467706
-4.818126	-0.027560	0.275264	0.001961	0.467705
