Tue Oct 04 11:52:43 2016

Number of Points = 2704
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.175528	2.139837	0.000000	0.000849	0.481784

0.341868	2.081647	0.005005	0.000814	0.481816
0.269347	2.111810	0.010010	0.000830	0.481818
0.301127	2.035501	0.015014	0.000823	0.481616
0.241219	2.022835	0.020019	0.000835	0.481497
0.231881	1.948134	0.025024	0.000837	0.481246
0.265786	1.870479	0.030029	0.000830	0.481042
0.257467	1.782187	0.035034	0.000832	0.480748
0.254618	1.680426	0.040038	0.000832	0.480419
0.150233	1.620655	0.045043	0.000854	0.480090
0.121772	1.520223	0.050048	0.000860	0.479730
0.063122	1.424650	0.055053	0.000873	0.479346
0.037982	1.293784	0.060058	0.000878	0.478892
0.108270	1.133598	0.065062	0.000863	0.478470
-0.008381	1.023690	0.070067	0.000888	0.477961
0.000647	0.878315	0.075072	0.000886	0.477505
-0.192838	0.788240	0.080077	0.000926	0.476958
-0.235148	0.649432	0.085082	0.000935	0.476453
-0.274357	0.513650	0.090086	0.000944	0.475962
-0.419364	0.395341	0.095091	0.000974	0.475386
-0.509565	0.268699	0.100096	0.000993	0.474855
-0.650309	0.171073	0.105101	0.001023	0.474351
-0.760952	0.049393	0.110106	0.001046	0.473808
-0.963485	-0.009813	0.115110	0.001088	0.473345
-1.383619	0.017464	0.120115	0.001177	0.472872
-1.689915	0.082637	0.125120	0.001241	0.472675
-1.907787	0.105436	0.130125	0.001287	0.472458
-1.908005	0.027952	0.135130	0.001287	0.472205
-2.063641	0.036561	0.140134	0.001320	0.472025
-2.520162	0.156923	0.145139	0.001416	0.471806
-2.294419	0.037118	0.150144	0.001368	0.471717
-2.711430	0.136352	0.155149	0.001456	0.471482
-2.537377	0.065461	0.160154	0.001419	0.471485
-2.886031	0.116808	0.165158	0.001492	0.471185
-2.808598	0.084448	0.170163	0.001476	0.471183
-2.918981	0.063759	0.175168	0.001499	0.470967
-3.073845	0.092181	0.180173	0.001532	0.470852
-3.071405	0.058437	0.185178	0.001531	0.470746
-3.354741	0.112742	0.190182	0.001591	0.470543
-3.313515	0.050067	0.195187	0.001582	0.470393
-3.502004	0.076673	0.200192	0.001622	0.470227
-3.514254	0.072749	0.205197	0.001624	0.470198
-3.723604	0.075087	0.210202	0.001668	0.469924
-3.603028	0.013069	0.215206	0.001643	0.469883
-4.155849	0.150674	0.220211	0.001759	0.469590
-4.115203	0.134652	0.225216	0.001750	0.469593
-4.081775	0.119680	0.230221	0.001743	0.469589
-4.250997	0.125576	0.235226	0.001779	0.469380
-4.262206	0.098670	0.240230	0.001781	0.469277
-4.332038	0.111764	0.245235	0.001796	0.469226
-4.664216	0.165412	0.250240	0.001866	0.468955
-4.515865	0.104930	0.255245	0.001834	0.468956
-4.609725	0.080346	0.260250	0.001854	0.468749
-4.715942	0.095527	0.265254	0.001876	0.468656
-4.853868	0.073666	0.270259	0.001905	0.468398
-4.881241	0.063761	0.275264	0.001911	0.468329
-5.124399	0.098282	0.280269	0.001962	0.468114
-5.215070	0.106405	0.285274	0.001981	0.468018
-5.197865	0.070337	0.290278	0.001978	0.467923
