Tue Oct 04 11:15:18 2016

Number of Points = 2703
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.748252	1.982796	0.000000	0.000012	0.486490

0.831876	1.947886	0.005005	-0.000006	0.486489
0.861469	1.935300	0.010010	-0.000012	0.486488
0.718134	1.941383	0.015014	0.000018	0.486322
0.794394	1.867094	0.020019	0.000002	0.486186
0.751479	1.845328	0.025024	0.000011	0.486062
0.646703	1.824055	0.030029	0.000032	0.485858
0.703012	1.734478	0.035034	0.000021	0.485648
0.795003	1.620121	0.040038	0.000001	0.485406
0.755834	1.520251	0.045043	0.000009	0.485038
0.744724	1.417980	0.050048	0.000012	0.484699
0.682756	1.305293	0.055053	0.000025	0.484261
0.638924	1.193554	0.060058	0.000034	0.483848
0.606059	1.083251	0.065062	0.000041	0.483454
0.603693	0.920018	0.070067	0.000041	0.482931
0.579354	0.795265	0.075072	0.000046	0.482502
0.545619	0.639770	0.080077	0.000053	0.481961
0.518876	0.465206	0.085082	0.000059	0.481368
0.515125	0.282560	0.090086	0.000059	0.480779
0.340680	0.163641	0.095091	0.000096	0.480169
0.251649	0.008428	0.100096	0.000115	0.479553
0.262403	-0.188541	0.105101	0.000112	0.478935
0.050192	-0.297113	0.110106	0.000157	0.478305
-0.214619	-0.364136	0.115110	0.000213	0.477739
-0.553684	-0.367888	0.120115	0.000284	0.477279
-0.784181	-0.395755	0.125120	0.000332	0.476883
-1.105404	-0.382669	0.130125	0.000400	0.476500
-1.147121	-0.448100	0.135130	0.000408	0.476233
-1.392139	-0.440226	0.140134	0.000460	0.475934
-1.524578	-0.442150	0.145139	0.000488	0.475752
-1.849965	-0.377529	0.150144	0.000556	0.475529
-2.027547	-0.381374	0.155149	0.000593	0.475281
-2.020289	-0.406291	0.160154	0.000592	0.475210
-2.015705	-0.450828	0.165158	0.000591	0.475072
-2.173603	-0.435720	0.170163	0.000624	0.474912
-2.536326	-0.378647	0.175168	0.000700	0.474614
-2.520436	-0.395950	0.180173	0.000696	0.474579
-2.554614	-0.382939	0.185178	0.000704	0.474577
-2.683884	-0.426269	0.190182	0.000731	0.474264
-2.655591	-0.445500	0.195187	0.000725	0.474240
-2.960187	-0.412123	0.200192	0.000789	0.473942
-2.972734	-0.407323	0.205197	0.000791	0.473942
-3.155696	-0.394110	0.210202	0.000829	0.473741
-3.071148	-0.458850	0.215206	0.000812	0.473644
-3.170064	-0.480684	0.220211	0.000832	0.473441
-3.424578	-0.415228	0.225216	0.000886	0.473315
