Tue Oct 04 12:04:04 2016

Number of Points = 2704
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.374332	2.178562	0.000000	0.000972	0.481143

0.355994	2.200777	0.005005	0.000976	0.481190
0.353264	2.202301	0.010010	0.000977	0.481192
0.436133	2.140203	0.015014	0.000959	0.481102
0.359304	2.095687	0.020019	0.000975	0.480858
0.395607	2.053441	0.025024	0.000968	0.480771
0.360514	1.999320	0.030029	0.000975	0.480551
0.447011	1.876792	0.035034	0.000957	0.480272
0.226706	1.879410	0.040038	0.001003	0.479990
0.329575	1.752761	0.045043	0.000982	0.479719
0.331932	1.643645	0.050048	0.000981	0.479372
0.347880	1.502120	0.055053	0.000978	0.478938
0.222569	1.428758	0.060058	0.001004	0.478536
0.180048	1.319754	0.065062	0.001013	0.478129
0.216106	1.145110	0.070067	0.001006	0.477613
0.214249	0.993425	0.075072	0.001006	0.477121
0.059021	0.901779	0.080077	0.001039	0.476619
-0.036362	0.773948	0.085082	0.001059	0.476079
-0.059247	0.621900	0.090086	0.001064	0.475556
-0.141665	0.486135	0.095091	0.001081	0.475006
-0.258614	0.351005	0.100096	0.001105	0.474412
-0.395522	0.243504	0.105101	0.001134	0.473880
-0.375687	0.064491	0.110106	0.001130	0.473324
-0.569823	-0.032379	0.115110	0.001171	0.472749
-0.966528	0.000210	0.120115	0.001254	0.472324
-1.145554	-0.049580	0.125120	0.001292	0.471921
-1.439901	-0.043700	0.130125	0.001354	0.471545
-1.477607	-0.122841	0.135130	0.001362	0.471236
-1.918460	-0.049168	0.140134	0.001455	0.470885
-2.096306	-0.032171	0.145139	0.001492	0.470701
-2.305713	0.003402	0.150144	0.001536	0.470536
-2.038966	-0.139047	0.155149	0.001480	0.470429
-2.226152	-0.132351	0.160154	0.001519	0.470199
-2.627462	-0.050395	0.165158	0.001604	0.469927
-2.570019	-0.087058	0.170163	0.001592	0.469884
-2.930432	-0.028338	0.175168	0.001668	0.469591
-2.914387	-0.036499	0.180173	0.001664	0.469586
-2.837881	-0.115534	0.185178	0.001648	0.469430
-3.155578	-0.033138	0.190182	0.001715	0.469272
-3.131798	-0.077626	0.195187	0.001710	0.469158
-3.427202	-0.020001	0.200192	0.001772	0.468949
-3.212513	-0.108100	0.205197	0.001727	0.468949
-3.510395	-0.069344	0.210202	0.001789	0.468674
-3.524035	-0.071799	0.215206	0.001792	0.468648
-3.730862	-0.061272	0.220211	0.001836	0.468403
-3.762485	-0.073805	0.225216	0.001842	0.468319
-3.859770	-0.080024	0.230221	0.001863	0.468167
-4.023276	-0.060625	0.235226	0.001897	0.468010
-4.060296	-0.044161	0.240230	0.001905	0.468014
