Tue Oct 04 11:24:15 2016

Number of Points = 2702
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.726023	2.321385	0.000000	0.002003	0.475116

0.791270	2.322883	0.005005	0.001990	0.475207
0.757146	2.249057	0.010010	0.001997	0.474922
0.697244	2.262441	0.015014	0.002010	0.474884
0.698107	2.168776	0.020019	0.002010	0.474581
0.734094	2.092141	0.025024	0.002002	0.474379
0.664482	2.033022	0.030029	0.002017	0.474093
0.698537	1.927570	0.035034	0.002010	0.473795
0.502919	1.909648	0.040038	0.002051	0.473475
0.633724	1.756212	0.045043	0.002024	0.473149
0.687271	1.604888	0.050048	0.002013	0.472727
0.521013	1.551841	0.055053	0.002048	0.472331
0.502797	1.425225	0.060058	0.002052	0.471892
0.345945	1.336716	0.065062	0.002085	0.471392
0.348591	1.205400	0.070067	0.002085	0.470965
0.395013	1.022135	0.075072	0.002075	0.470427
0.250114	0.919852	0.080077	0.002106	0.469895
0.094505	0.828952	0.085082	0.002138	0.469387
0.080860	0.667174	0.090086	0.002141	0.468836
0.049954	0.515590	0.095091	0.002148	0.468295
0.018079	0.354941	0.100096	0.002155	0.467722
-0.175472	0.256973	0.105101	0.002196	0.467136
-0.099954	0.041591	0.110106	0.002180	0.466527
-0.277393	-0.070645	0.115110	0.002218	0.465914
-0.489958	-0.156352	0.120115	0.002262	0.465341
-0.630493	-0.273589	0.125120	0.002292	0.464760
-0.844442	-0.339181	0.130125	0.002337	0.464250
-1.064079	-0.394411	0.135130	0.002384	0.463766
-1.481297	-0.338126	0.140134	0.002471	0.463383
-1.666926	-0.349442	0.145139	0.002511	0.463090
-1.836993	-0.359057	0.150144	0.002547	0.462825
-1.966466	-0.365296	0.155149	0.002574	0.462626
-2.271681	-0.304447	0.160154	0.002638	0.462410
-2.226023	-0.375656	0.165158	0.002629	0.462235
-2.346165	-0.375135	0.170163	0.002654	0.462071
-2.687896	-0.321047	0.175168	0.002726	0.461782
-2.742104	-0.306300	0.180173	0.002738	0.461757
-2.789497	-0.324489	0.185178	0.002748	0.461630
-2.973829	-0.305883	0.190182	0.002787	0.461439
-2.996139	-0.299212	0.195187	0.002791	0.461429
-3.196535	-0.302544	0.200192	0.002834	0.461142
-3.110548	-0.337469	0.205197	0.002816	0.461143
-3.344758	-0.318090	0.210202	0.002865	0.460885
-3.239484	-0.384698	0.215206	0.002843	0.460807
-3.581132	-0.323149	0.220211	0.002915	0.460542
-3.643460	-0.309673	0.225216	0.002928	0.460501
-3.594907	-0.371037	0.230221	0.002918	0.460361
-3.737223	-0.363545	0.235226	0.002948	0.460190
-3.976106	-0.333420	0.240230	0.002999	0.459961
-3.930207	-0.374595	0.245235	0.002989	0.459886
-4.043777	-0.356743	0.250240	0.003013	0.459788
-4.175259	-0.372570	0.255245	0.003041	0.459553
-4.411550	-0.340134	0.260250	0.003091	0.459336
-4.528093	-0.320397	0.265254	0.003115	0.459240
-4.507102	-0.329189	0.270259	0.003111	0.459239
-4.538894	-0.377848	0.275264	0.003118	0.459031
-4.583715	-0.393428	0.280269	0.003128	0.458916
-4.847743	-0.359770	0.285274	0.003183	0.458664
-4.808044	-0.390184	0.290278	0.003175	0.458616
-5.057755	-0.374590	0.295283	0.003228	0.458323
-5.059295	-0.385693	0.300288	0.003228	0.458282
-5.325415	-0.330507	0.305293	0.003284	0.458099
-5.305907	-0.373283	0.310298	0.003280	0.457982
-5.468413	-0.305613	0.315302	0.003314	0.457984
-5.669527	-0.310455	0.320307	0.003357	0.457689
-5.423590	-0.415496	0.325312	0.003305	0.457675
-5.755180	-0.346366	0.330317	0.003375	0.457448
-5.793359	-0.347279	0.335322	0.003383	0.457391
-5.976894	-0.322375	0.340326	0.003422	0.457220
-6.071498	-0.331019	0.345331	0.003442	0.457059
-6.048618	-0.341685	0.350336	0.003437	0.457054
