Tue Oct 04 11:58:07 2016

Number of Points = 2704
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.276601	2.213748	0.000000	0.001191	0.479882

0.321134	2.211912	0.005005	0.001182	0.479934
0.363914	2.192358	0.010010	0.001173	0.479928
0.383090	2.177091	0.015014	0.001169	0.479904
0.279977	2.123981	0.020019	0.001191	0.479597
0.250041	2.136882	0.025024	0.001197	0.479599
0.347019	2.018148	0.030029	0.001177	0.479345
0.289302	1.972176	0.035034	0.001189	0.479121
0.244257	1.906808	0.040038	0.001198	0.478851
0.242102	1.824138	0.045043	0.001199	0.478582
0.259119	1.707841	0.050048	0.001195	0.478229
0.256755	1.595543	0.055053	0.001196	0.477864
0.227204	1.488501	0.060058	0.001202	0.477479
0.260753	1.319322	0.065062	0.001195	0.476977
0.170513	1.212182	0.070067	0.001214	0.476511
0.170348	1.054104	0.075072	0.001214	0.475999
0.117065	0.897799	0.080077	0.001225	0.475422
0.105383	0.731261	0.085082	0.001228	0.474866
0.017712	0.579538	0.090086	0.001246	0.474256
-0.096136	0.447781	0.095091	0.001270	0.473675
-0.162751	0.288972	0.100096	0.001285	0.473069
-0.300154	0.177966	0.105101	0.001314	0.472523
-0.457514	0.066639	0.110106	0.001347	0.471949
-0.609390	-0.047918	0.115110	0.001379	0.471370
-1.084465	0.011479	0.120115	0.001479	0.470926
-1.377475	0.013851	0.125120	0.001540	0.470540
-1.778273	0.081770	0.130125	0.001625	0.470223
-1.801651	0.042465	0.135130	0.001630	0.470062
-2.084266	0.116416	0.140134	0.001689	0.469924
-2.051985	0.024625	0.145139	0.001682	0.469666
-2.139680	0.024105	0.150144	0.001701	0.469546
-2.401576	0.048398	0.155149	0.001756	0.469272
-2.427113	0.055217	0.160154	0.001761	0.469260
-2.742808	0.090441	0.165158	0.001828	0.468949
-2.700750	0.073519	0.170163	0.001819	0.468950
-2.643024	-0.011565	0.175168	0.001807	0.468748
-2.883676	0.058003	0.180173	0.001858	0.468652
-2.990211	0.025954	0.185178	0.001880	0.468402
-2.999727	0.005396	0.190182	0.001882	0.468322
-3.338076	0.070457	0.195187	0.001953	0.468078
-3.413510	0.083157	0.200192	0.001969	0.468018
-3.358966	0.059257	0.205197	0.001958	0.468013
-3.554886	0.052307	0.210202	0.001999	0.467724
-3.396143	-0.029013	0.215206	0.001966	0.467671
-3.907190	0.101216	0.220211	0.002073	0.467408
-3.782573	0.051407	0.225216	0.002047	0.467413
-3.945949	0.083742	0.230221	0.002081	0.467298
-4.108489	0.083924	0.235226	0.002116	0.467078
-3.972770	0.012581	0.240230	0.002087	0.467026
-4.268241	0.053334	0.245235	0.002149	0.466760
-4.243227	0.042053	0.250240	0.002144	0.466756
-4.454344	0.047857	0.255245	0.002189	0.466489
-4.500855	0.051657	0.260250	0.002198	0.466438
-4.690386	0.083488	0.265254	0.002238	0.466286
-4.799988	0.082875	0.270259	0.002261	0.466135
-4.718411	0.051003	0.275264	0.002244	0.466140
-5.057218	0.093862	0.280269	0.002315	0.465821
-4.973784	0.056011	0.285274	0.002298	0.465809
-5.039132	0.041346	0.290278	0.002312	0.465672
-5.202257	0.056548	0.295283	0.002346	0.465500
-5.262726	0.043158	0.300288	0.002359	0.465373
-5.563104	0.107890	0.305293	0.002422	0.465179
-5.561933	0.109730	0.310298	0.002422	0.465186
-5.606965	0.060800	0.315302	0.002431	0.464962
-5.633934	0.046475	0.320307	0.002437	0.464878
-5.928467	0.086727	0.325312	0.002499	0.464610
-5.962908	0.082338	0.330317	0.002506	0.464548
-5.889531	0.024223	0.335322	0.002491	0.464455
-6.174208	0.074889	0.340326	0.002551	0.464235
-6.088290	0.024675	0.345331	0.002533	0.464185
-6.507695	0.115236	0.350336	0.002621	0.463914
-6.360675	0.054836	0.355341	0.002590	0.463913
-6.431463	0.025022	0.360346	0.002605	0.463718
-6.485065	0.016073	0.365350	0.002616	0.463614
-6.791961	0.043550	0.370355	0.002681	0.463286
-6.736409	0.020529	0.375360	0.002669	0.463285
-6.988103	0.047063	0.380365	0.002722	0.463029
-6.866654	-0.017816	0.385370	0.002697	0.462979
-7.192452	0.035126	0.390374	0.002765	0.462710
-7.084674	-0.023762	0.395379	0.002743	0.462661
-7.395264	0.043936	0.400384	0.002808	0.462461
-7.478652	0.061042	0.405389	0.002826	0.462404
-7.487450	0.038036	0.410394	0.002828	0.462315
-7.804974	0.094191	0.415398	0.002894	0.462067
-7.799252	0.091712	0.420403	0.002893	0.462066
-7.680230	0.010105	0.425408	0.002868	0.461957
-7.963266	0.065336	0.430413	0.002928	0.461753
-8.048486	0.046860	0.435418	0.002946	0.461574
-8.255451	0.089534	0.440422	0.002989	0.461432
-8.196112	0.064244	0.445427	0.002977	0.461429
-8.376096	0.068333	0.450432	0.003015	0.461196
-8.405126	0.060855	0.455437	0.003021	0.461131
-8.584674	0.096158	0.460442	0.003059	0.461002
-8.672030	0.071846	0.465446	0.003077	0.460800
-8.697229	0.082620	0.470451	0.003083	0.460801
-8.880665	0.070861	0.475456	0.003121	0.460510
-8.935579	0.088503	0.480461	0.003133	0.460493
-8.966048	0.037145	0.485466	0.003139	0.460279
-9.110269	0.065487	0.490470	0.003170	0.460175
-9.227792	0.052222	0.495475	0.003194	0.459969
-9.302966	0.054417	0.500480	0.003210	0.459873
-9.376917	0.034709	0.505485	0.003226	0.459704
-9.635216	0.091554	0.510490	0.003280	0.459539
-9.634635	0.092759	0.515494	0.003280	0.459544
-9.779121	0.063762	0.520499	0.003310	0.459247
-9.699811	0.026549	0.525504	0.003294	0.459231
-10.140117	0.113556	0.530509	0.003386	0.458916
-10.184824	0.131287	0.535514	0.003396	0.458913
-10.130995	0.109055	0.540518	0.003385	0.458913
-10.211940	0.074650	0.545523	0.003402	0.458685
-10.305643	0.092842	0.550528	0.003421	0.458617
-10.365305	0.041578	0.555533	0.003434	0.458362
-10.420249	0.041620	0.560538	0.003446	0.458286
-10.817452	0.119753	0.565542	0.003529	0.458000
-10.702451	0.066612	0.570547	0.003505	0.457979
-10.838973	0.105490	0.575552	0.003534	0.457921
-11.073026	0.125811	0.580557	0.003583	0.457666
-10.989054	0.092585	0.585562	0.003565	0.457670
-11.063986	0.059231	0.590566	0.003581	0.457454
-11.267479	0.125669	0.595571	0.003624	0.457396
-11.379819	0.097273	0.600576	0.003648	0.457144
-11.440894	0.096122	0.605581	0.003661	0.457055
-11.522459	0.098444	0.610586	0.003678	0.456950
-11.687932	0.104591	0.615590	0.003713	0.456741
-11.755253	0.113430	0.620595	0.003727	0.456677
-11.950597	0.116982	0.625600	0.003768	0.456418
-11.975650	0.126907	0.630605	0.003773	0.456417
-11.886017	0.034891	0.635610	0.003754	0.456230
-12.150406	0.111294	0.640614	0.003810	0.456121
-12.213178	0.081902	0.645619	0.003823	0.455934
-12.442287	0.132902	0.650624	0.003872	0.455788
-12.463476	0.129806	0.655629	0.003876	0.455748
-12.636523	0.122175	0.660634	0.003912	0.455481
-12.501070	0.065643	0.665638	0.003884	0.455478
-12.796423	0.094117	0.670643	0.003946	0.455164
-12.709964	0.057740	0.675648	0.003928	0.455161
-13.026066	0.099435	0.680653	0.003995	0.454862
-13.011036	0.092582	0.685658	0.003991	0.454859
-13.100943	0.055709	0.690662	0.004010	0.454609
-13.226458	0.081990	0.695667	0.004037	0.454523
-13.375989	0.083382	0.700672	0.004068	0.454319
-13.334150	0.034451	0.705677	0.004060	0.454211
-13.673785	0.107230	0.710682	0.004131	0.453984
-13.513109	0.013352	0.715686	0.004097	0.453889
-13.716951	0.045921	0.720691	0.004140	0.453715
-13.938758	0.101313	0.725696	0.004187	0.453593
-14.008668	0.129145	0.730701	0.004202	0.453590
-14.114309	0.083626	0.735706	0.004224	0.453288
-14.056468	0.051989	0.740710	0.004212	0.453261
-14.292509	0.072652	0.745715	0.004261	0.453001
-14.475403	0.132326	0.750720	0.004300	0.452948
-14.314830	0.036077	0.755725	0.004266	0.452845
-14.612895	0.098478	0.760730	0.004329	0.452640
-14.565202	0.052632	0.765734	0.004319	0.452550
-14.742488	0.081372	0.770739	0.004356	0.452400
-14.710499	0.025036	0.775744	0.004350	0.452252
-15.047112	0.108014	0.780749	0.004420	0.452064
-15.054812	0.064050	0.785754	0.004422	0.451903
-15.145047	0.055333	0.790758	0.004441	0.451746
-15.178260	0.060967	0.795763	0.004448	0.451719
-15.524042	0.115824	0.800768	0.004521	0.451421
-15.372806	0.053565	0.805773	0.004489	0.451420
-15.475314	0.029769	0.810778	0.004511	0.451195
-15.638225	0.075700	0.815782	0.004545	0.451123
-15.897089	0.112101	0.820787	0.004599	0.450883
-15.809296	0.049297	0.825792	0.004581	0.450792
-15.966367	0.077834	0.830797	0.004614	0.450668
-16.232579	0.133131	0.835802	0.004670	0.450483
-16.152518	0.098740	0.840806	0.004653	0.450478
-16.282977	0.090763	0.845811	0.004681	0.450267
-16.451024	0.131842	0.850816	0.004716	0.450171
-16.503518	0.152526	0.855821	0.004727	0.450168
-16.787289	0.185465	0.860826	0.004787	0.449881
-16.614146	0.110854	0.865830	0.004751	0.449869
-16.741372	0.139089	0.870835	0.004777	0.449786
-16.964965	0.155574	0.875840	0.004824	0.449527
-16.795219	0.053690	0.880845	0.004789	0.449417
-17.057296	0.103904	0.885850	0.004844	0.449219
-17.192935	0.159339	0.890854	0.004873	0.449218
-17.356897	0.134291	0.895859	0.004907	0.448901
-17.154776	0.038814	0.900864	0.004865	0.448858
-17.487655	0.102060	0.905869	0.004935	0.448605
-17.460452	0.071704	0.910874	0.004929	0.448539
-17.776433	0.124201	0.915878	0.004995	0.448273
-17.707121	0.095289	0.920883	0.004981	0.448271
-17.731906	0.029687	0.925888	0.004986	0.448010
-17.773036	-0.001768	0.930893	0.004995	0.447843
-18.179629	0.110637	0.935898	0.005080	0.447655
-18.150087	0.083508	0.940902	0.005074	0.447603
-18.315473	0.084293	0.945907	0.005109	0.447372
-18.363006	0.102278	0.950912	0.005119	0.447366
-18.652212	0.142903	0.955917	0.005180	0.447096
-18.494811	0.058632	0.960922	0.005147	0.447028
-18.573412	0.063996	0.965926	0.005163	0.446935
-18.793929	0.088930	0.970931	0.005210	0.446708
-18.863553	0.075160	0.975936	0.005225	0.446562
-19.170234	0.151943	0.980941	0.005289	0.446392
-19.217783	0.171871	0.985946	0.005299	0.446393
-19.103900	0.096499	0.990950	0.005275	0.446294
-19.391142	0.155613	0.995955	0.005336	0.446090
-19.300813	0.118198	1.000960	0.005317	0.446089

-19.340500	0.135667	1.010957	0.005325	0.446092
-19.258370	0.102541	1.020954	0.005308	0.446094
-19.081707	0.103570	1.030950	0.005271	0.446348
-18.982614	0.103528	1.040947	0.005250	0.446488
-18.770343	0.089401	1.050944	0.005205	0.446740
-18.615119	0.118531	1.060941	0.005173	0.447060
-18.401051	0.122434	1.070938	0.005128	0.447377
-18.234542	0.136712	1.080934	0.005093	0.447661
-17.882033	0.080953	1.090931	0.005019	0.447968
-17.870611	0.143532	1.100928	0.005016	0.448199
-17.635650	0.149694	1.110925	0.004967	0.448551
-17.219635	0.062056	1.120922	0.004880	0.448837
-17.213377	0.096605	1.130918	0.004878	0.448964
-16.885794	0.037552	1.140915	0.004809	0.449223
-16.684843	0.037817	1.150912	0.004767	0.449507
-16.560128	0.050402	1.160909	0.004741	0.449726
-16.405937	0.058616	1.170906	0.004709	0.449970
-16.195849	0.064156	1.180902	0.004665	0.450285
-16.004921	0.056907	1.190899	0.004624	0.450528
-15.834874	0.074056	1.200896	0.004589	0.450825
-15.600392	0.082352	1.210893	0.004539	0.451183
-15.304540	0.032027	1.220890	0.004477	0.451426
-15.182375	0.068949	1.230886	0.004452	0.451723
-14.888414	0.034784	1.240883	0.004390	0.452018
-14.750652	0.034092	1.250880	0.004361	0.452208
-14.572769	0.048776	1.260877	0.004324	0.452507
-14.381653	0.031557	1.270874	0.004283	0.452715
-14.159277	0.014428	1.280870	0.004237	0.452967
-14.024612	0.048628	1.290867	0.004208	0.453272
-13.754094	0.032527	1.300864	0.004152	0.453594
-13.621400	0.059585	1.310861	0.004124	0.453871
-13.383431	0.059346	1.320858	0.004074	0.454202
-13.198630	0.071532	1.330854	0.004035	0.454501
-12.997559	0.086465	1.340851	0.003993	0.454831
-12.754514	0.075189	1.350848	0.003941	0.455131
-12.553330	0.070598	1.360845	0.003899	0.455395
-12.335288	0.061747	1.370842	0.003853	0.455667
-12.179087	0.081408	1.380838	0.003821	0.455951
-11.971224	0.085121	1.390835	0.003777	0.456251
-11.814306	0.091472	1.400832	0.003744	0.456490
-11.518685	0.068776	1.410829	0.003682	0.456823
-11.394522	0.106705	1.420826	0.003656	0.457123
-11.036073	0.038782	1.430822	0.003580	0.457390
-10.880186	0.032326	1.440819	0.003548	0.457584
-10.748771	0.052789	1.450816	0.003520	0.457834
-10.548859	0.033677	1.460813	0.003478	0.458046
-10.334976	0.033729	1.470810	0.003433	0.458341
-10.066797	0.005239	1.480806	0.003377	0.458615
-10.000471	0.049475	1.490803	0.003363	0.458855
-9.728243	0.029064	1.500800	0.003306	0.459162
-9.500963	-0.000548	1.510797	0.003258	0.459375
-9.403011	0.068337	1.520794	0.003237	0.459741
-9.147091	0.043086	1.530790	0.003184	0.460008
-9.001392	0.082200	1.540787	0.003153	0.460340
-8.771119	0.073220	1.550784	0.003105	0.460626
-8.472157	0.018336	1.560781	0.003042	0.460853
-8.383583	0.079759	1.570778	0.003023	0.461179
-8.133369	0.052824	1.580774	0.002971	0.461432
-7.981201	0.081911	1.590771	0.002939	0.461738
-7.536959	-0.003972	1.600768	0.002845	0.462060
-7.602044	0.060154	1.610765	0.002859	0.462184
-7.392666	0.076581	1.620762	0.002815	0.462525
-7.184550	0.070558	1.630758	0.002771	0.462790
-6.979453	0.091052	1.640755	0.002728	0.463138
-6.653373	0.043474	1.650752	0.002660	0.463425
-6.549106	0.071668	1.660749	0.002638	0.463661
-6.229729	0.017875	1.670746	0.002571	0.463918
-6.116796	0.035418	1.680742	0.002547	0.464130
-5.914713	0.058447	1.690739	0.002504	0.464481
-5.698444	0.024262	1.700736	0.002459	0.464662
-5.562245	0.075471	1.710733	0.002430	0.465017
-5.269411	0.009600	1.720730	0.002369	0.465197
-5.221032	0.095916	1.730726	0.002359	0.465549
-4.992120	0.095931	1.740723	0.002311	0.465859
-4.748851	0.101104	1.750720	0.002260	0.466207
-4.567753	0.117243	1.760717	0.002221	0.466505
-4.318791	0.098116	1.770714	0.002169	0.466780
-4.157744	0.133370	1.780710	0.002135	0.467114
-3.918371	0.131316	1.790707	0.002085	0.467431
-3.666358	0.111673	1.800704	0.002032	0.467707
-3.539156	0.129519	1.810701	0.002005	0.467938
-3.327762	0.141198	1.820698	0.001961	0.468262
-3.108672	0.135623	1.830694	0.001915	0.468539
-2.818559	0.087538	1.840691	0.001854	0.468773
-2.779610	0.151088	1.850688	0.001846	0.469034
-2.543396	0.148199	1.860685	0.001796	0.469342
-2.392167	0.191371	1.870682	0.001764	0.469688
-2.087795	0.153562	1.880678	0.001700	0.469973
-1.998104	0.210245	1.890675	0.001682	0.470280
-1.661929	0.154806	1.900672	0.001611	0.470550
